start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;route_dist;dist_km;len;fleet_id
4.0;(7, 18, 32, 33);45.0;250.0;100.0;0.2;0.7000000000000002;{7: 45.0};{33: 45.0};{7: {4.0: 1.0, 12.0: 5.0, 88.0: 28.0, 92.0: 11.0}};4950.0;4950.0;4;14
8.0;(26, 25, 21, 22);58.0;250.0;100.0;0.2;0.9000000000000001;{26: 58.0};{22: 58.0};{26: {8.0: 1.0, 12.0: 4.0, 88.0: 37.0, 92.0: 16.0}};6380.0;6380.0;4;15
8.0;(9, 10, 19, 13);1.0;250.0;100.0;0.2;0.7000000000000002;{9: 1.0};{13: 1.0};{9: {8.0: 1.0}};110.0;110.0;4;16
8.0;(51, 52, 55, 62, 68, 78, 79, 85, 89);50.0;250.0;100.0;0.2;1.0;{51: 50.0};{89: 50.0};{51: {8.0: 1.0, 16.0: 1.0, 24.0: 4.0, 28.0: 3.0, 32.0: 5.0, 36.0: 3.0, 40.0: 2.0, 44.0: 4.0, 48.0: 3.0, 52.0: 5.0, 56.0: 2.0, 60.0: 2.0, 64.0: 5.0, 68.0: 2.0, 72.0: 5.0, 76.0: 2.0, 80.0: 1.0}};12375.0;12375.0;9;17
8.0;(49, 46, 47, 48, 61, 63, 64, 70, 71, 73, 78, 82, 83);63.0;250.0;100.0;0.2;1.0;{49: 63.0};{83: 52.0, 63: 11.0};{49: {8.0: 1.0, 20.0: 1.0, 24.0: 4.0, 28.0: 2.0, 32.0: 9.0, 36.0: 4.0, 40.0: 4.0, 44.0: 9.0, 48.0: 4.0, 52.0: 2.0, 56.0: 2.0, 60.0: 5.0, 64.0: 5.0, 68.0: 3.0, 72.0: 2.0, 76.0: 4.0, 80.0: 1.0, 88.0: 1.0}};20405.0;20405.0;13;18
8.0;(14, 15, 7, 6, 5, 3, 4);1.0;250.0;100.0;0.2;0.7000000000000002;{14: 1.0};{4: 1.0};{14: {8.0: 1.0}};192.5;192.5;7;19
8.0;(56, 58, 59, 70, 64);35.0;250.0;100.0;0.2;0.9000000000000001;{56: 35.0};{64: 35.0};{56: {8.0: 1.0, 12.0: 2.0, 16.0: 2.0, 20.0: 27.0, 92.0: 3.0}};4812.5;4812.5;5;20
8.0;(59, 71, 73, 77);24158.0;250.0;100.0;0.2;1.0;{59: 24158.0};{77: 24158.0};{59: {8.0: 3.0, 12.0: 17.0, 16.0: 71.0, 20.0: 331.0, 24.0: 1183.0, 28.0: 2269.0, 32.0: 2244.0, 36.0: 1863.0, 40.0: 1880.0, 44.0: 1655.0, 48.0: 1370.0, 52.0: 1224.0, 56.0: 1352.0, 60.0: 1427.0, 64.0: 1571.0, 68.0: 1612.0, 72.0: 1506.0, 76.0: 1233.0, 80.0: 744.0, 84.0: 390.0, 88.0: 152.0, 92.0: 61.0}};2657380.0;2657380.0;4;21
8.0;(44, 43, 41, 42, 61, 63, 64, 70, 72, 85, 89);52.0;250.0;100.0;0.2;1.0;{44: 52.0};{89: 52.0};{44: {8.0: 1.0, 24.0: 4.0, 28.0: 6.0, 32.0: 6.0, 36.0: 4.0, 40.0: 2.0, 44.0: 3.0, 48.0: 4.0, 52.0: 1.0, 56.0: 3.0, 60.0: 2.0, 64.0: 3.0, 68.0: 6.0, 72.0: 4.0, 80.0: 2.0, 84.0: 1.0}};15730.0;15730.0;11;22
8.0;(66, 81, 74, 70, 71, 73, 77);3048.0;250.0;100.0;0.2;1.0;{66: 3048.0};{77: 3048.0};{66: {8.0: 2.0, 16.0: 13.0, 20.0: 40.0, 24.0: 136.0, 28.0: 270.0, 32.0: 310.0, 36.0: 231.0, 40.0: 249.0, 44.0: 226.0, 48.0: 149.0, 52.0: 161.0, 56.0: 158.0, 60.0: 181.0, 64.0: 169.0, 68.0: 229.0, 72.0: 196.0, 76.0: 140.0, 80.0: 106.0, 84.0: 48.0, 88.0: 24.0, 92.0: 10.0}};586740.0;586740.0;7;23
8.0;(76, 77, 73, 71, 70, 64);2.0;250.0;100.0;0.2;0.5;{76: 2.0};{64: 2.0};{76: {8.0: 2.0}};330.0;330.0;6;24
8.0;(16, 18, 32, 33, 34, 46);1.0;250.0;100.0;0.2;0.8000000000000003;{16: 1.0};{46: 1.0};{16: {8.0: 1.0}};165.0;165.0;6;25
8.0;(51, 52, 53, 54, 58, 59, 70, 64, 63, 61, 42, 41, 43, 44);121.0;250.0;100.0;0.2;1.0;{51: 121.0};{44: 27.0, 64: 41.0, 58: 39.0, 42: 14.0};{51: {8.0: 1.0, 24.0: 22.0, 28.0: 25.0, 36.0: 2.0, 40.0: 5.0, 44.0: 4.0, 52.0: 3.0, 56.0: 1.0, 60.0: 27.0, 64.0: 17.0, 68.0: 3.0, 76.0: 4.0, 84.0: 7.0}};29012.5;29012.5;14;26
8.0;(11, 12, 13, 19, 10, 9, 8, 2, 3, 4, 5, 6, 7, 16);2779.0;250.0;100.0;0.2;1.0;{11: 2779.0};{16: 252.0, 2: 142.0, 9: 2268.0, 6: 20.0, 10: 85.0, 5: 8.0, 4: 4.0};{11: {8.0: 2.0, 16.0: 7.0, 20.0: 31.0, 24.0: 143.0, 28.0: 255.0, 32.0: 263.0, 36.0: 212.0, 40.0: 226.0, 44.0: 200.0, 48.0: 162.0, 52.0: 145.0, 56.0: 150.0, 60.0: 156.0, 64.0: 178.0, 68.0: 205.0, 72.0: 161.0, 76.0: 130.0, 80.0: 86.0, 84.0: 43.0, 88.0: 18.0, 92.0: 6.0}};524287.5;524287.5;14;27
8.0;(56, 58, 59, 71, 73, 77);1911.0;250.0;100.0;0.2;1.0;{56: 1911.0};{77: 1911.0};{56: {8.0: 1.0, 16.0: 7.0, 20.0: 35.0, 24.0: 97.0, 28.0: 176.0, 32.0: 161.0, 36.0: 162.0, 40.0: 135.0, 44.0: 142.0, 48.0: 105.0, 52.0: 111.0, 56.0: 103.0, 60.0: 110.0, 64.0: 106.0, 68.0: 134.0, 72.0: 124.0, 76.0: 79.0, 80.0: 75.0, 84.0: 28.0, 88.0: 13.0, 92.0: 7.0}};315315.0;315315.0;6;28
8.0;(22, 21, 25, 29);24.0;250.0;100.0;0.2;1.0;{22: 24.0};{29: 24.0};{22: {8.0: 1.0, 12.0: 1.0, 88.0: 16.0, 92.0: 6.0}};2640.0;2640.0;4;29
8.0;(22, 21, 25, 26);14.0;250.0;100.0;0.2;0.6000000000000001;{22: 14.0};{26: 14.0};{22: {8.0: 1.0, 16.0: 13.0}};1540.0;1540.0;4;30
8.0;(89, 85, 72, 59);3.0;250.0;100.0;0.2;0.8000000000000003;{89: 3.0};{59: 3.0};{89: {8.0: 1.0, 92.0: 2.0}};330.0;330.0;4;31
8.0;(13, 20, 25, 26);27.0;250.0;100.0;0.2;1.0;{13: 27.0};{26: 27.0};{13: {8.0: 2.0, 12.0: 5.0, 16.0: 20.0}};2970.0;2970.0;4;32
8.0;(33, 32, 18, 7);6.0;250.0;100.0;0.2;1.0;{33: 6.0};{7: 6.0};{33: {8.0: 1.0, 12.0: 5.0}};660.0;660.0;4;33
8.0;(27, 26, 29, 30, 53, 52);540.0;250.0;100.0;0.2;1.0;{27: 540.0};{52: 540.0};{27: {8.0: 1.0, 12.0: 2.0, 16.0: 2.0, 20.0: 4.0, 24.0: 23.0, 28.0: 57.0, 32.0: 47.0, 36.0: 42.0, 40.0: 40.0, 44.0: 45.0, 48.0: 36.0, 52.0: 29.0, 56.0: 23.0, 60.0: 35.0, 64.0: 36.0, 68.0: 35.0, 72.0: 35.0, 76.0: 21.0, 80.0: 13.0, 84.0: 11.0, 88.0: 3.0}};89100.0;89100.0;6;34
12.0;(76, 77, 73, 71, 70, 64, 63, 61, 42, 41, 43, 44);735.0;250.0;100.0;0.2;1.0;{76: 735.0};{44: 446.0, 42: 199.0, 64: 90.0};{76: {12.0: 5.0, 16.0: 10.0, 20.0: 65.0, 24.0: 29.0, 28.0: 55.0, 32.0: 55.0, 36.0: 58.0, 40.0: 60.0, 44.0: 53.0, 48.0: 40.0, 52.0: 26.0, 56.0: 43.0, 60.0: 33.0, 64.0: 36.0, 68.0: 45.0, 72.0: 36.0, 76.0: 30.0, 80.0: 18.0, 84.0: 10.0, 88.0: 28.0}};211282.5;211282.5;12;35
12.0;(66, 81, 74, 70, 59);49.0;250.0;100.0;0.2;0.7000000000000002;{66: 49.0};{59: 49.0};{66: {12.0: 5.0, 16.0: 14.0, 88.0: 24.0, 92.0: 6.0}};6737.5;6737.5;5;36
12.0;(27, 26, 25, 20, 13);24.0;250.0;100.0;0.2;1.0;{27: 24.0};{13: 24.0};{27: {12.0: 1.0, 16.0: 1.0, 20.0: 9.0, 84.0: 6.0, 88.0: 5.0, 92.0: 2.0}};3300.0;3300.0;5;37
12.0;(14, 15, 18, 32, 33, 34, 45);1.0;250.0;100.0;0.2;0.7000000000000002;{14: 1.0};{45: 1.0};{14: {12.0: 1.0}};192.5;192.5;7;38
12.0;(63, 61, 48, 47);191.0;250.0;100.0;0.2;0.9000000000000001;{63: 191.0};{47: 191.0};{63: {12.0: 3.0, 16.0: 2.0, 20.0: 15.0, 36.0: 67.0, 52.0: 41.0, 60.0: 46.0, 84.0: 12.0, 88.0: 4.0, 92.0: 1.0}};21010.0;21010.0;4;39
12.0;(76, 77, 73, 71, 59, 58, 56);1807.0;250.0;100.0;0.2;1.0;{76: 1807.0};{56: 1790.0, 59: 17.0};{76: {12.0: 19.0, 16.0: 4.0, 20.0: 19.0, 24.0: 84.0, 28.0: 158.0, 32.0: 174.0, 36.0: 165.0, 40.0: 152.0, 44.0: 148.0, 48.0: 76.0, 52.0: 90.0, 56.0: 71.0, 60.0: 94.0, 64.0: 119.0, 68.0: 137.0, 72.0: 118.0, 76.0: 97.0, 80.0: 46.0, 84.0: 25.0, 88.0: 9.0, 92.0: 2.0}};346912.5;346912.5;7;40
12.0;(11, 12, 13, 19, 10, 9);1.0;250.0;100.0;0.2;0.2;{11: 1.0};{9: 1.0};{11: {12.0: 1.0}};165.0;165.0;6;41
12.0;(83, 82, 78, 77);1017.0;250.0;100.0;0.2;1.0;{83: 1017.0};{77: 1017.0};{83: {12.0: 2.0, 16.0: 1.0, 20.0: 10.0, 24.0: 49.0, 28.0: 97.0, 32.0: 110.0, 36.0: 74.0, 40.0: 82.0, 44.0: 71.0, 48.0: 52.0, 52.0: 45.0, 56.0: 63.0, 60.0: 66.0, 64.0: 64.0, 68.0: 75.0, 72.0: 44.0, 76.0: 55.0, 80.0: 30.0, 84.0: 16.0, 88.0: 8.0, 92.0: 3.0}};111870.0;111870.0;4;42
12.0;(76, 77, 73, 71, 70, 74, 81, 66);2906.0;250.0;100.0;0.2;1.0;{76: 2906.0};{66: 2906.0};{76: {12.0: 1.0, 16.0: 11.0, 20.0: 47.0, 24.0: 156.0, 28.0: 269.0, 32.0: 274.0, 36.0: 225.0, 40.0: 232.0, 44.0: 204.0, 48.0: 186.0, 52.0: 159.0, 56.0: 139.0, 60.0: 163.0, 64.0: 201.0, 68.0: 192.0, 72.0: 159.0, 76.0: 124.0, 80.0: 95.0, 84.0: 50.0, 88.0: 15.0, 92.0: 4.0}};639320.0;639320.0;8;43
12.0;(26, 29, 30, 53, 55, 62, 67, 83);253.0;250.0;100.0;0.2;1.0;{26: 253.0};{83: 253.0};{26: {12.0: 1.0, 20.0: 4.0, 24.0: 10.0, 28.0: 31.0, 32.0: 25.0, 36.0: 17.0, 40.0: 21.0, 44.0: 17.0, 48.0: 12.0, 52.0: 17.0, 56.0: 11.0, 60.0: 16.0, 64.0: 16.0, 68.0: 16.0, 72.0: 14.0, 76.0: 11.0, 80.0: 9.0, 84.0: 3.0, 88.0: 2.0}};55660.0;55660.0;8;44
12.0;(26, 25, 21, 10, 9, 8, 2);46.0;250.0;100.0;0.2;0.8000000000000003;{26: 46.0};{2: 3.0, 10: 40.0, 9: 3.0};{26: {12.0: 2.0, 20.0: 43.0, 88.0: 1.0}};5390.0;5390.0;7;45
