,ID,segment_id,pois_type,type_ID,dir,dist_along_segment,ID.1,demand_0,tc_0,demand_1,tc_1,projected_points
52,52,5.0,od,7.0,2,8025.963,52,174.48443562,2174.0,103.44473241000004,3981.0,POINT (377405.6122739093 436582.48009012727)
53,53,5.0,ra,26.0,1,10624.424,53,0.0,0.0,1140.5154797760003,3981.0,POINT (379959.1040804212 436814.2977074193)
54,54,5.0,ra,27.0,0,12028.5387,54,94.660915305,2365.0,0.0,0.0,POINT (380809.5132748487 437797.2150787287)
55,55,5.0,ra,32.0,2,39273.3936,55,644.3408183850003,2365.0,320.74798764299976,3981.0,POINT (404666.3393909041 437565.1373344102)
56,56,5.0,ra,36.0,1,47330.3639,56,0.0,0.0,810.77917839,3981.0,POINT (407495.79724174016 442612.7173526537)
57,57,5.0,ra,39.0,0,54808.4651,57,367.404440975,2365.0,0.0,0.0,POINT (412548.91993552307 446915.67800408334)
58,58,5.0,ra,43.0,1,67696.5829,58,0.0,0.0,593.1405438120006,3981.0,POINT (423086.51063181605 450802.4533375033)
59,59,5.0,ra,44.0,0,67916.7177,59,310.0101739899998,2365.0,0.0,0.0,POINT (423297.81130778336 450863.93424038205)
60,60,5.0,od,8.0,2,82595.8681,60,347.16190696000035,2365.0,145.7458364999997,4100.0,POINT (435250.9029366367 455838.054213921)
61,61,5.0,ra,50.0,1,86150.6446,61,0.0,0.0,654.5406664999999,4100.0,POINT (438760.7746039549 456263.6320063508)
62,62,5.0,ra,51.0,0,86198.2119,62,86.5643215139997,2403.0,0.0,0.0,POINT (438808.22944083123 456260.3629871813)
63,63,5.0,link,4.0,2,102115.0511,63,382.4816459760001,2403.0,0.0,4100.0,POINT (452559.0184 462855.2281)
64,64,6.0,link,,2,0.0,64,0.0,1801.0,0.0,3403.0,POINT (406895.9783 501318.3961)
65,65,6.0,od,10.0,2,0.0,65,0.0,1801.0,649.974289737,3403.0,POINT (406895.9783 501318.3961)
66,66,6.0,ra,34.0,0,1229.5619,66,22.144409819000003,1801.0,0.0,0.0,POINT (406960.3088094094 500140.1726753872)
67,67,6.0,ra,33.0,0,4398.318,67,57.06929736100002,1801.0,0.0,0.0,POINT (406013.181578617 497130.29396834417)
68,68,6.0,ra,38.0,1,19100.0379,68,0.0,0.0,128.10608473200008,3403.0,POINT (411915.9276660478 486015.5919906238)
69,69,6.0,ra,37.0,0,19123.3135,69,265.19716895500005,1801.0,0.0,0.0,POINT (411927.4770427959 485995.3839364847)
70,70,6.0,od,11.0,2,22864.5423,70,67.37953068800002,1801.0,699.0939773590001,3613.0,POINT (414200.22737178975 483070.5300195685)
71,71,6.0,ra,48.0,2,42213.9466,71,374.023985119,1933.0,674.2680896879998,3613.0,POINT (430763.28443148907 475496.7161735058)
72,72,6.0,link,3.0,2,60876.2242,72,360.7418260079999,1933.0,0.0,3613.0,POINT (448379.4659612143 475821.8973165772)
73,73,7.0,link,,2,0.0,73,0.0,2666.0,0.0,2516.0,POINT (423692.9672 292765.924)
74,74,7.0,od,13.0,2,0.0,74,0.0,2666.0,167.76575786400002,2516.0,POINT (423692.9672 292765.924)
75,75,7.0,ra,46.0,2,6667.9554,75,177.76769096400002,2666.0,1.3465506200000086,2516.0,POINT (427954.4888481733 296765.06880840345)
76,76,7.0,ra,47.0,2,6721.4749,76,1.426829870000009,2666.0,467.29836572,2516.0,POINT (428007.0412899602 296775.17913568765)
77,77,7.0,link,2.0,2,25294.5419,77,495.15796622,2666.0,0.0,2516.0,POINT (443649.1136 302106.452)
78,78,8.0,link,2.0,2,0.0,78,0.0,0.0,0.0,0.0,POINT (443649.1136 302106.452)
79,79,8.0,ra,52.0,2,9055.8245,79,0.0,0.0,0.0,0.0,POINT (451018.32470143714 297821.78149879136)
80,80,8.0,od,14.0,2,21173.6853,80,0.0,0.0,0.0,0.0,POINT (451820.2167027485 287091.6655052039)
81,81,8.0,link,,2,21173.6853,81,0.0,0.0,0.0,0.0,POINT (451820.2167027485 287091.6655052039)
82,82,9.0,link,2.0,2,0.0,82,0.0,2780.0,436.64066078600007,2827.0,POINT (443649.1136 302106.452)
83,83,9.0,ra,55.0,2,15445.3718,83,429.38133604000006,2780.0,500.71131385,2827.0,POINT (458306.7940764559 303735.45581565396)
84,84,9.0,link,7.0,2,33157.1268,84,492.386789,2780.0,0.0,2827.0,POINT (473413.6635578576 307051.16952054534)
85,85,10.0,link,3.0,2,0.0,85,0.0,164.0,29.29094487,198.0,POINT (448379.466 475821.8973)
86,86,10.0,ra,53.0,2,14793.4065,86,24.26118666,164.0,0.8595754200000016,198.0,POINT (452251.4105970054 463161.5663374772)
87,87,10.0,link,4.0,2,15227.5355,87,0.7119715600000014,164.0,0.0,198.0,POINT (452559.0183850873 462855.2281149292)
88,88,11.0,link,3.0,2,0.0,88,0.0,1769.0,237.93968446500003,3415.0,POINT (448379.466 475821.8973)
89,89,11.0,ra,54.0,2,6967.4871,89,123.254846799,1769.0,241.983522565,3415.0,POINT (455044.0371973333 477090.9602798865)
90,90,11.0,ra,56.0,1,14053.3882,90,0.0,0.0,198.93405988500004,3415.0,POINT (461296.28356646636 476629.742582689)
91,91,11.0,link,5.0,2,19878.6901,91,228.39918107000005,1769.0,0.0,3415.0,POINT (466701.1495 477269.0321)
92,92,12.0,link,4.0,2,0.0,92,0.0,2247.0,544.264837092,3951.0,POINT (452559.0184 462855.2281)
93,93,12.0,ra,58.0,0,13722.6357,93,308.34762417900004,2247.0,0.0,0.0,POINT (461425.82137697656 473244.4040326094)
94,94,12.0,ra,57.0,1,13775.3692,94,0.0,0.0,274.583697966,3951.0,POINT (461454.74063140346 473288.4999588424)
95,95,12.0,link,5.0,2,20725.0958,95,157.34527844699997,2247.0,0.0,3951.0,POINT (466701.1494684333 477269.03208977124)
96,96,13.0,link,4.0,2,0.0,96,0.0,376.0,78.48567299300001,403.0,POINT (452559.0184 462855.2281)
97,97,13.0,od,17.0,2,19475.3531,97,73.22732765600001,376.0,67.50651422199999,401.0,POINT (457557.77515631256 444742.9578175954)
98,98,13.0,ra,59.0,2,36309.8953,98,56.564061792,336.0,74.894759574,401.0,POINT (463187.38909662433 430798.1157237469)
99,99,13.0,ra,63.0,1,54986.8927,99,0.0,0.0,54.38478129600002,401.0,POINT (475213.97663490084 418767.01555088477)
100,100,13.0,ra,62.0,0,55258.2919,100,63.666612576000006,336.0,0.0,0.0,POINT (475291.9288971077 418507.23990962235)
101,101,13.0,od,18.0,2,68549.1823,101,44.65739174400002,336.0,26.272704978000007,153.0,POINT (473100.10728726967 407270.1451146825)
102,102,13.0,ra,70.0,2,85720.8849,102,0.0,0.0,9.833543783999996,153.0,POINT (486609.63663864566 400344.48091879673)
103,103,13.0,ra,71.0,1,92148.0377,103,0.0,0.0,44.562918618,153.0,POINT (492625.01981975813 398497.65593754174)
104,104,13.0,ra,75.0,0,106351.1983,104,0.0,0.0,0.0,0.0,POINT (504861.3719958824 392840.50024646265)
105,105,13.0,ra,80.0,2,121274.1283,105,0.0,0.0,17.354546576999997,153.0,POINT (518324.52481764357 388654.0569974916)
106,106,13.0,link,8.0,2,132616.9692,106,0.0,0.0,0.0,153.0,POINT (526729.497785401 383262.22561345744)
107,107,14.0,link,5.0,2,0.0,107,0.0,4016.0,341.320691754,7366.0,POINT (466701.1495 477269.0321)
108,108,14.0,ra,61.0,0,4629.4826,108,185.92002121600004,4016.0,0.0,0.0,POINT (470561.1669555975 479800.5982637369)
