,fleet_id,charge_cap,batt_cap,d_spec,incoming,all_arrived,arrival_SOC
0,0,250.0,100.0,0.15,2.0,True,0.3987968980601563
1,1,250.0,100.0,0.15,72.0,True,0.3827876783676344
2,2,250.0,100.0,0.15,4.0,True,0.1175
3,3,250.0,100.0,0.15,3.0,True,0.39958113773227666
4,4,250.0,100.0,0.15,1664.0,True,0.3371925309647004
5,5,250.0,100.0,0.15,2.0,True,0.36217773296045547
6,6,250.0,100.0,0.15,104.0,True,0.3019298458572638
7,7,250.0,100.0,0.15,2.0,True,0.3995513675300611
8,8,250.0,100.0,0.15,404.0,True,0.32128700073907906
9,9,250.0,100.0,0.15,5820.0,True,0.3177451156702223
10,10,250.0,100.0,0.15,3298.0,True,0.2693904026846912
11,11,250.0,100.0,0.15,3899.0,True,0.33880552880409354
12,12,250.0,100.0,0.15,1.0,True,0.3667596071157879
13,13,250.0,100.0,0.15,3438.0,True,0.32297242911571306
14,14,250.0,100.0,0.15,30.0,True,0.3314080307128262
15,15,250.0,100.0,0.15,34524.0,True,0.334
16,16,250.0,100.0,0.15,1.0,True,0.39905306833433746
17,17,250.0,100.0,0.15,43.0,True,0.3879055751955513
18,18,250.0,100.0,0.15,4355.0,True,0.28916187618271366
19,19,250.0,100.0,0.15,6712.0,True,0.3204731510587414
20,20,250.0,100.0,0.15,1647.0,True,0.3509024547426069
21,21,250.0,100.0,0.15,2.0,True,0.39812280634651054
22,22,250.0,100.0,0.15,1.0,True,0.3986370950819626
23,23,250.0,100.0,0.15,2.0,True,0.39791216872918045
24,24,250.0,100.0,0.15,17.0,True,0.3970684510350745
25,25,250.0,100.0,0.15,872.0,True,0.3520461098926445
26,26,250.0,100.0,0.15,8.0,True,0.3535339940049368
27,27,250.0,100.0,0.15,103.0,True,0.39534490210207623
28,28,250.0,100.0,0.15,44.0,True,0.3972746600506108
29,29,250.0,100.0,0.15,8743.0,True,0.3561729021152732
30,30,250.0,100.0,0.15,166.0,True,0.3486853435467019
31,31,250.0,100.0,0.15,1616.0,True,0.2977632463816515
32,32,250.0,100.0,0.15,50.0,True,0.3991441771020584
33,33,250.0,100.0,0.15,1624.0,True,0.3656681927494785
34,34,250.0,100.0,0.15,12.0,True,0.3823171547848548
35,35,250.0,100.0,0.15,4151.0,True,0.2746167506695422
36,36,250.0,100.0,0.15,1.0,True,0.3786611405204395
37,37,250.0,100.0,0.15,2554.0,True,0.28533414963294607
38,38,250.0,100.0,0.15,267.0,True,0.3181282585402244
39,39,250.0,100.0,0.15,430.0,True,0.3856048110163855
40,40,250.0,100.0,0.15,9453.0,True,0.3407040391755697
41,41,250.0,100.0,0.15,836.0,True,0.3336935229423138
42,42,250.0,100.0,0.15,31.0,True,0.3969890084020862
43,43,250.0,100.0,0.15,196.0,True,0.36542012888356107
44,44,250.0,100.0,0.15,40.0,True,0.36883918769262164
45,45,250.0,100.0,0.15,772.0,True,0.3695513843168433
46,46,250.0,100.0,0.15,1.0,True,0.3905175414139576
47,47,250.0,100.0,0.15,6.0,True,0.35074612705164676
48,48,250.0,100.0,0.15,167.0,True,0.3248040779220355
49,49,250.0,100.0,0.15,2.0,True,0.399545223454969
50,50,250.0,100.0,0.15,708.0,True,0.33027791565831716
51,51,250.0,100.0,0.15,2.0,True,0.3990756903757952
52,52,250.0,100.0,0.15,1.0,True,0.39692576335206103
53,53,250.0,100.0,0.15,26.0,True,0.39943885531439777
54,54,250.0,100.0,0.15,300.0,True,0.28990798490375574
55,55,250.0,100.0,0.15,711.0,True,0.3876320974002505
56,56,250.0,100.0,0.15,2.0,True,0.3989364003815098
57,57,250.0,100.0,0.15,21.0,True,0.3995484582919064
58,58,250.0,100.0,0.15,3.0,True,0.38268300326624644
59,59,250.0,100.0,0.15,803.0,True,0.34928199272583715
60,60,250.0,100.0,0.15,1563.0,True,0.35470036098509183
61,61,250.0,100.0,0.15,353.0,True,0.3091050336893047
62,62,250.0,100.0,0.15,1454.0,True,0.3431399235605735
63,63,250.0,100.0,0.15,136.0,True,0.3969144531526315
64,64,250.0,100.0,0.15,41.0,True,0.3637312197163221
65,65,250.0,100.0,0.15,944.0,True,0.3730076412077107
66,66,250.0,100.0,0.15,1.0,True,0.3738134023461379
67,67,250.0,100.0,0.15,115.0,True,0.32448414180584
68,68,250.0,100.0,0.15,46.0,True,0.39740630599428145
69,69,250.0,100.0,0.15,568.0,True,0.3312712178792031
70,70,250.0,100.0,0.15,12.0,True,0.3759946651524558
71,71,250.0,100.0,0.15,2.0,True,0.39861336320191976
72,72,250.0,100.0,0.15,2099.0,True,0.30633041510139924
73,73,250.0,100.0,0.15,1025.0,True,0.398776600358888
74,74,250.0,100.0,0.15,1.0,True,0.39738415650418935
75,75,250.0,100.0,0.15,66.0,True,0.3608439116520875
76,76,250.0,100.0,0.15,165.0,True,0.34937899690459207
77,77,250.0,100.0,0.15,361.0,True,0.3985256809316084
78,78,250.0,100.0,0.15,351.0,True,0.331091003981675
79,79,250.0,100.0,0.15,1611.0,True,0.29362878396268116
80,80,250.0,100.0,0.15,332.0,True,0.3956591864103688
81,81,250.0,100.0,0.15,4.0,True,0.37999373848003537
82,82,250.0,100.0,0.15,2544.0,True,0.28026155522490465
83,83,250.0,100.0,0.15,73.0,True,0.39882231284169606
84,84,250.0,100.0,0.15,1677.0,True,0.3990235568505407
85,85,250.0,100.0,0.15,2731.0,True,0.30168010324459166
86,86,250.0,100.0,0.15,51.0,True,0.39905560945243557
87,87,250.0,100.0,0.15,162.0,True,0.34903340604922234
88,88,250.0,100.0,0.15,1243.0,True,0.3549819590236968
89,89,250.0,100.0,0.15,270.0,True,0.35276147571857036
90,90,250.0,100.0,0.15,107.0,True,0.3990795014610117
91,91,250.0,100.0,0.15,85.0,True,0.39629597667387656
92,92,250.0,100.0,0.15,1233.0,True,0.3626240263428766
93,93,250.0,100.0,0.15,443.0,True,0.3858764182585303
94,94,250.0,100.0,0.15,531.0,True,0.3611119284639357
95,95,250.0,100.0,0.15,64.0,True,0.39942409209346924
96,96,250.0,100.0,0.15,671.0,True,0.3142747141334065
97,97,250.0,100.0,0.15,390.0,True,0.366172974861325
98,98,250.0,100.0,0.15,396.0,True,0.3521813925228552
99,99,250.0,100.0,0.15,137.0,True,0.34996518594423887
100,100,250.0,100.0,0.15,2.0,True,0.39901343042228216
101,101,250.0,100.0,0.15,1.0,True,0.3988009732745763
102,102,250.0,100.0,0.15,2.0,True,0.39716775292642303
103,103,250.0,100.0,0.15,377.0,True,0.3289131201301593
104,104,250.0,100.0,0.15,118.0,True,0.32640297293978215
105,105,250.0,100.0,0.15,557.0,True,0.3440935305165836
106,106,250.0,100.0,0.15,1573.0,True,0.3646427318934764
107,107,250.0,100.0,0.15,1.0,True,0.38166052046188087
108,108,250.0,100.0,0.15,172.0,True,0.37350923371877665
109,109,250.0,100.0,0.15,542.0,True,0.3982859482788675
110,110,250.0,100.0,0.15,348.0,True,0.37919695990434743
111,111,250.0,100.0,0.15,230.0,True,0.3985327969037858
112,112,250.0,100.0,0.15,1200.0,True,0.3986809300563167
113,113,250.0,100.0,0.15,2.0,True,0.38190635037912396
114,114,250.0,100.0,0.15,182.0,True,0.39797294511729076
115,115,250.0,100.0,0.15,81.0,True,0.3332683237344353
116,116,250.0,100.0,0.15,247.0,True,0.3876257964142407
117,117,250.0,100.0,0.15,1035.0,True,0.2952485934150641
118,118,250.0,100.0,0.15,133.0,True,0.3880561969604346
119,119,250.0,100.0,0.15,1486.0,True,0.27353652936383166
120,120,250.0,100.0,0.15,1.0,True,0.398714210904425
121,121,250.0,100.0,0.15,5807.0,True,0.33408828432491167
122,122,250.0,100.0,0.15,482.0,True,0.3805925799409761
123,123,250.0,100.0,0.15,744.0,True,0.3375250454809872
124,124,250.0,100.0,0.15,33.0,True,0.3143154647828596
125,125,250.0,100.0,0.15,53.0,True,0.3854924990283514
126,126,250.0,100.0,0.15,75.0,True,0.3989919131908563
127,127,250.0,100.0,0.15,15.0,True,0.3979249995749
128,128,250.0,100.0,0.15,412.0,True,0.35251847102597833
129,129,250.0,100.0,0.15,61.0,True,0.3326397543677405
130,130,250.0,100.0,0.15,272.0,True,0.31063789861464236
131,131,250.0,100.0,0.15,11.0,True,0.3819079098780604
132,132,250.0,100.0,0.15,94.0,True,0.39393937733407575
133,133,250.0,100.0,0.15,275.0,True,0.39803119726897035
134,134,250.0,100.0,0.15,280.0,True,0.38664024773700173
135,135,250.0,100.0,0.15,103.0,True,0.3983567071105695
136,136,250.0,100.0,0.15,119.0,True,0.37127494244379866
137,137,250.0,100.0,0.15,222.0,True,0.37394206183659773
138,138,250.0,100.0,0.15,156.0,True,0.34548024590135334
139,139,250.0,100.0,0.15,32.0,True,0.3671795349006161
140,140,250.0,100.0,0.15,164.0,True,0.39890475751918314
141,141,250.0,100.0,0.15,670.0,True,0.3180232167415842
142,142,250.0,100.0,0.15,127.0,True,0.3936927798328676
143,143,250.0,100.0,0.15,249.0,True,0.33310985273295207
144,144,250.0,100.0,0.15,40.0,True,0.36543131834877
145,145,250.0,100.0,0.15,33.0,True,0.39927082353607946
146,146,250.0,100.0,0.15,10.0,True,0.39977487779735726
147,147,250.0,100.0,0.15,7.0,True,0.39690740168652044
148,148,250.0,100.0,0.15,119.0,True,0.3938144188619891
149,149,250.0,100.0,0.15,20.0,True,0.3829924500661037
150,150,250.0,100.0,0.15,237.0,True,0.38815019757755764
151,151,250.0,100.0,0.15,1.0,True,0.3996397898835003
152,152,250.0,100.0,0.15,708.0,True,0.33155567366358113
153,153,250.0,100.0,0.15,158.0,True,0.32824380398086894
154,154,250.0,100.0,0.15,1.0,True,0.3989520778444064
155,155,250.0,100.0,0.15,431.0,True,0.3957715881003642
156,156,250.0,100.0,0.15,103.0,True,0.3694699431478537
157,157,250.0,100.0,0.15,5.0,True,0.3994482688113434
158,158,250.0,100.0,0.15,741.0,True,0.3171780768581167
159,159,250.0,100.0,0.15,106.0,True,0.3911811711506409
160,160,250.0,100.0,0.15,87.0,True,0.37703740914467476
161,161,250.0,100.0,0.15,813.0,True,0.3032338350594363
162,162,250.0,100.0,0.15,7.0,True,0.382878379744147
163,163,250.0,100.0,0.15,1.0,True,0.3830990515800275
164,164,250.0,100.0,0.15,154.0,True,0.3824180850328907
165,165,250.0,100.0,0.15,38.0,True,0.39837481115028106
166,166,250.0,100.0,0.15,235.0,True,0.35978384974876526
167,167,250.0,100.0,0.15,24.0,True,0.36325273343482395
168,168,250.0,100.0,0.15,106.0,True,0.32391351273721924
169,169,250.0,100.0,0.15,95.0,True,0.3659085638488048
170,170,250.0,100.0,0.15,379.0,True,0.3952365175739069
171,171,250.0,100.0,0.15,194.0,True,0.3958449849159891
172,172,250.0,100.0,0.15,31.0,True,0.39793666272069445
173,173,250.0,100.0,0.15,25.0,True,0.39947515824467433
174,174,250.0,100.0,0.15,271.0,True,0.3711115527834281
175,175,250.0,100.0,0.15,1.0,True,0.39717622468787744
176,176,250.0,100.0,0.15,101.0,True,0.3985420267091861
177,177,250.0,100.0,0.15,201.0,True,0.3935581650536328
178,178,250.0,100.0,0.15,4.0,True,0.3989682442776099
179,179,250.0,100.0,0.15,1.0,True,0.3828132395380351
180,180,250.0,100.0,0.15,62.0,True,0.3975198108849005
181,181,250.0,100.0,0.15,1998.0,True,0.3922183559258815
182,182,250.0,100.0,0.15,8.0,True,0.39724236983980926
183,183,250.0,100.0,0.15,10.0,True,0.3994415385877299
184,184,250.0,100.0,0.15,5.0,True,0.3990244074661853
185,185,250.0,100.0,0.15,28.0,True,0.39917266653375155
186,186,250.0,100.0,0.15,220.0,True,0.3908340213287016
187,187,250.0,100.0,0.15,134.0,True,0.391100358129969
188,188,250.0,100.0,0.15,34.0,True,0.3992755473243773
189,189,250.0,100.0,0.15,111.0,True,0.3660705617427895
190,190,250.0,100.0,0.15,6.0,True,0.3995079941138467
191,191,250.0,100.0,0.15,38.0,True,0.39923631078150096
192,192,250.0,100.0,0.15,86.0,True,0.38355971085331597
193,193,250.0,100.0,0.15,35.0,True,0.37604968473569045
194,194,250.0,100.0,0.15,52.0,True,0.3824879016115188
195,195,250.0,100.0,0.15,4683.0,True,0.2497299914475256
196,196,250.0,100.0,0.15,485.0,True,0.36465987912519293
197,197,250.0,100.0,0.15,1669.0,True,0.31583541869848814
198,198,250.0,100.0,0.15,186.0,True,0.3600678304421687
199,199,250.0,100.0,0.15,2.0,True,0.3991574315495121
200,200,250.0,100.0,0.15,94.0,True,0.37896969116456664
201,201,250.0,100.0,0.15,583.0,True,0.30266610901579033
202,202,250.0,100.0,0.15,37.0,True,0.3659574288735576
203,203,250.0,100.0,0.15,34.0,True,0.36204031923867597
204,204,250.0,100.0,0.15,3794.0,True,0.292529268434742
205,205,250.0,100.0,0.15,29.0,True,0.3822536669514649
206,206,250.0,100.0,0.15,2.0,True,0.382957315233322
207,207,250.0,100.0,0.15,18.0,True,0.36809359515806295
208,208,250.0,100.0,0.15,69.0,True,0.3715492912595639
209,209,250.0,100.0,0.15,1.0,True,0.3988932790032032
210,210,250.0,100.0,0.15,48.0,True,0.3986224396774043
211,211,250.0,100.0,0.15,67.0,True,0.3990277430050083
212,212,250.0,100.0,0.15,72.0,True,0.39890303978638403
213,213,250.0,100.0,0.15,14.0,True,0.39916645899285574
214,214,250.0,100.0,0.15,231.0,True,0.3256403883292564
215,215,250.0,100.0,0.15,19.0,True,0.3994367676841804
216,216,250.0,100.0,0.15,23.0,True,0.3729473118613705
217,217,250.0,100.0,0.15,8633.0,True,0.32571880070654563
218,218,250.0,100.0,0.15,37.0,True,0.39927454164091086
219,219,250.0,100.0,0.15,380.0,True,0.3973388408642764
220,220,250.0,100.0,0.15,1.0,True,0.38801900572162434
221,221,250.0,100.0,0.15,204.0,True,0.32564203833972843
222,222,250.0,100.0,0.15,4.0,True,0.3666555462522722
223,223,250.0,100.0,0.15,215.0,True,0.398832988019515
224,224,250.0,100.0,0.15,247.0,True,0.3976947465281661
225,225,250.0,100.0,0.15,18.0,True,0.3329564888003052
226,226,250.0,100.0,0.15,1833.0,True,0.3064370204287933
227,227,250.0,100.0,0.15,240.0,True,0.39804244373147446
228,228,250.0,100.0,0.15,41.0,True,0.36826446081101033
229,229,250.0,100.0,0.15,154.0,True,0.3934139851883392
230,230,250.0,100.0,0.15,71.0,True,0.3925775835867205
231,231,250.0,100.0,0.15,91.0,True,0.39001664056787044
232,232,250.0,100.0,0.15,181.0,True,0.34562946682307405
233,233,250.0,100.0,0.15,20.0,True,0.38457825607441815
234,234,250.0,100.0,0.15,637.0,True,0.3330476500196425
235,235,250.0,100.0,0.15,27.0,True,0.3608477730602464
236,236,250.0,100.0,0.15,76.0,True,0.32941218482179413
237,237,250.0,100.0,0.15,54.0,True,0.3990519410461414
