segment_id,dir,type_ID,POI_ID,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,dist_along_segment,pois_type,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,pXi
3.0,2.0,0.0,30.0,2000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,od,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,2.0,0.0,31.0,26704.37870000184,1000.0,25704.37870000184,100.70710819560112,0.0,100.70710819560112,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,0.0,43.8,0
3.0,0.0,24.0,32.0,27898.063900002824,27898.063900002824,0.0,81.22217215589312,81.22217215589312,0.0,291.1391,ra,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.326,35.326,0.0,0
3.0,1.0,25.0,33.0,25704.37870000184,0.0,25704.37870000184,548.5121374696356,0.0,548.5121374696356,391.7897,ra,3.0,0.0,3.0,238.563,0.0,238.563,0.0,0.0,0.0,0.0,0.0,0.0,1
3.0,2.0,1.0,34.0,27844.0,14880.0,12964.0,623.4033008838077,623.4033008838077,0.0,2525.7146,link,0.0,0.0,0.0,0.0,0.0,0.0,35.326,35.326,0.0,306.461,306.461,0.0,0
4.0,2.0,1.0,35.0,59761.3086274698,30037.3419745759,29723.9666528939,15969.900467749338,0.0,15969.900467749338,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,153.2305,153.2305,0.0,7098.978499999999,153.2305,6945.748,0
4.0,1.0,29.0,36.0,58237.7215000003,0.0,58237.7215000003,10396.869080535918,0.0,10396.869080535918,27421.9184,ra,57.0,0.0,57.0,4521.884,0.0,4521.884,6945.748,0.0,6945.748,6945.748,0.0,6945.748,1
4.0,0.0,28.0,37.0,59649.56700000021,59649.56700000021,0.0,16377.549450077144,16377.549450077144,0.0,27456.2755,ra,0.0,0.0,0.0,0.0,0.0,0.0,153.2305,153.2305,0.0,7276.2765,7276.2765,0.0,0
4.0,2.0,2.0,38.0,101773.91100000034,59649.56700000021,42124.344000000136,15968.970938266059,10628.4244485411,5340.546489724959,45274.3838,od,0.0,0.0,0.0,0.0,0.0,0.0,7276.2765,7276.2765,0.0,14221.6205,11898.8705,2322.75,0
4.0,2.0,31.0,39.0,85776.90450000015,43652.560500000014,42124.344000000136,5544.035330494696,5534.294581436823,9.740749057872542,57952.4364,ra,58.0,0.0,58.0,4639.999999999995,4635.762999999995,4.237,11898.8705,11898.8705,0.0,9670.124500000005,9670.124500000005,0.0,1
