start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;route_dist;dist_km;len;fleet_id
0.0;(59, 71, 73, 77);34523.0;250.0;100.0;0.2;1.0;{59: 34523.0};{77: 34523.0};{59: {0.0: 1.0, 4.0: 1.0, 8.0: 8.0, 12.0: 17.0, 16.0: 96.0, 20.0: 446.0, 24.0: 1645.0, 28.0: 3216.0, 32.0: 3294.0, 36.0: 2678.0, 40.0: 2661.0, 44.0: 2401.0, 48.0: 1942.0, 52.0: 1772.0, 56.0: 1825.0, 60.0: 2111.0, 64.0: 2200.0, 68.0: 2415.0, 72.0: 2087.0, 76.0: 1787.0, 80.0: 1117.0, 84.0: 511.0, 88.0: 222.0, 92.0: 70.0}};3797530.0;3797530.0;4;0
0.0;(27, 26, 29, 30, 53, 52);775.0;250.0;100.0;0.2;1.0;{27: 775.0};{52: 775.0};{27: {0.0: 1.0, 16.0: 1.0, 20.0: 11.0, 24.0: 31.0, 28.0: 89.0, 32.0: 70.0, 36.0: 40.0, 40.0: 67.0, 44.0: 57.0, 48.0: 30.0, 52.0: 43.0, 56.0: 36.0, 60.0: 49.0, 64.0: 49.0, 68.0: 74.0, 72.0: 46.0, 76.0: 38.0, 80.0: 27.0, 84.0: 10.0, 88.0: 5.0, 92.0: 1.0}};127875.0;127875.0;6;1
0.0;(51, 52, 53, 54, 56);3436.0;250.0;100.0;0.2;1.0;{51: 3436.0};{56: 3436.0};{51: {0.0: 1.0, 8.0: 1.0, 12.0: 1.0, 16.0: 8.0, 20.0: 44.0, 24.0: 153.0, 28.0: 301.0, 32.0: 332.0, 36.0: 256.0, 40.0: 245.0, 44.0: 275.0, 48.0: 191.0, 52.0: 176.0, 56.0: 170.0, 60.0: 225.0, 64.0: 248.0, 68.0: 235.0, 72.0: 243.0, 76.0: 147.0, 80.0: 100.0, 84.0: 50.0, 88.0: 24.0, 92.0: 10.0}};472450.0;472450.0;5;2
4.0;(33, 32, 18, 7);4.0;250.0;100.0;0.2;1.0;{33: 4.0};{7: 4.0};{33: {4.0: 1.0, 8.0: 3.0}};440.0;440.0;4;3
4.0;(14, 15, 7, 6);3.0;250.0;100.0;0.2;0.8000000000000003;{14: 3.0};{6: 3.0};{14: {4.0: 1.0, 12.0: 2.0}};330.0;330.0;4;4
4.0;(16, 7, 6, 5, 3, 4, 2, 1);413.0;250.0;100.0;0.2;1.0;{16: 413.0};{1: 412.0, 4: 1.0};{16: {4.0: 1.0, 16.0: 1.0, 20.0: 7.0, 24.0: 22.0, 28.0: 44.0, 32.0: 34.0, 36.0: 28.0, 40.0: 20.0, 44.0: 33.0, 48.0: 29.0, 52.0: 23.0, 56.0: 19.0, 60.0: 20.0, 64.0: 26.0, 68.0: 42.0, 72.0: 24.0, 76.0: 18.0, 80.0: 14.0, 84.0: 5.0, 88.0: 1.0, 92.0: 2.0}};90805.0;90805.0;8;5
4.0;(56, 58, 59, 71, 73, 77);2733.0;250.0;100.0;0.2;1.0;{56: 2733.0};{77: 2733.0};{56: {4.0: 1.0, 12.0: 1.0, 16.0: 7.0, 20.0: 42.0, 24.0: 127.0, 28.0: 235.0, 32.0: 257.0, 36.0: 227.0, 40.0: 231.0, 44.0: 203.0, 48.0: 145.0, 52.0: 131.0, 56.0: 170.0, 60.0: 157.0, 64.0: 165.0, 68.0: 195.0, 72.0: 168.0, 76.0: 125.0, 80.0: 92.0, 84.0: 32.0, 88.0: 17.0, 92.0: 5.0}};450945.0;450945.0;6;6
4.0;(22, 21, 25, 26);58.0;250.0;100.0;0.2;1.0;{22: 58.0};{26: 58.0};{22: {4.0: 1.0, 8.0: 3.0, 12.0: 10.0, 16.0: 25.0, 92.0: 19.0}};6380.0;6380.0;4;7
4.0;(7, 18, 32, 33);5.0;250.0;100.0;0.2;0.7000000000000002;{7: 5.0};{33: 5.0};{7: {4.0: 1.0, 8.0: 1.0, 12.0: 3.0}};550.0;550.0;4;8
4.0;(26, 25, 20, 13);33.0;250.0;100.0;0.2;1.0;{26: 33.0};{13: 33.0};{26: {4.0: 2.0, 12.0: 4.0, 16.0: 27.0}};3630.0;3630.0;4;9
8.0;(26, 25, 21, 10);1.0;250.0;100.0;0.2;0.6000000000000001;{26: 1.0};{10: 1.0};{26: {8.0: 1.0}};110.0;110.0;4;10
8.0;(1, 8, 9, 10, 19, 13);1681.0;250.0;100.0;0.2;0.9000000000000001;{1: 1681.0};{13: 1681.0};{1: {8.0: 1.0, 12.0: 1.0, 16.0: 4.0, 20.0: 29.0, 24.0: 79.0, 28.0: 140.0, 32.0: 161.0, 36.0: 161.0, 40.0: 114.0, 44.0: 123.0, 48.0: 99.0, 52.0: 75.0, 56.0: 95.0, 60.0: 113.0, 64.0: 106.0, 68.0: 98.0, 72.0: 109.0, 76.0: 78.0, 80.0: 49.0, 84.0: 30.0, 88.0: 11.0, 92.0: 5.0}};277365.0;277365.0;6;11
8.0;(76, 77, 73, 71, 70, 64, 63, 61, 42);1.0;250.0;100.0;0.2;0.7999999999999999;{76: 1.0};{42: 1.0};{76: {8.0: 1.0}};247.5;247.5;9;12
8.0;(41, 43, 44, 45, 46);669.0;250.0;100.0;0.2;1.0;{41: 669.0};{46: 669.0};{41: {8.0: 2.0, 12.0: 1.0, 20.0: 15.0, 24.0: 31.0, 28.0: 76.0, 32.0: 56.0, 36.0: 52.0, 40.0: 50.0, 44.0: 57.0, 48.0: 28.0, 52.0: 42.0, 56.0: 30.0, 60.0: 38.0, 64.0: 51.0, 68.0: 36.0, 72.0: 42.0, 76.0: 30.0, 80.0: 15.0, 84.0: 9.0, 88.0: 5.0, 92.0: 3.0}};91987.5;91987.5;5;13
8.0;(76, 77, 73, 71, 59);7.0;250.0;100.0;0.2;0.7999999999999999;{76: 7.0};{59: 7.0};{76: {8.0: 7.0}};962.5;962.5;5;14
8.0;(66, 81, 74, 70, 59);56.0;250.0;100.0;0.2;0.9000000000000001;{66: 56.0};{59: 56.0};{66: {8.0: 1.0, 12.0: 5.0, 16.0: 27.0, 92.0: 23.0}};7700.0;7700.0;5;15
8.0;(46, 45, 44, 43, 41);684.0;250.0;100.0;0.2;1.0;{46: 684.0};{41: 684.0};{46: {8.0: 1.0, 16.0: 1.0, 20.0: 13.0, 24.0: 25.0, 28.0: 67.0, 32.0: 74.0, 36.0: 49.0, 40.0: 59.0, 44.0: 42.0, 48.0: 33.0, 52.0: 28.0, 56.0: 36.0, 60.0: 44.0, 64.0: 45.0, 68.0: 50.0, 72.0: 48.0, 76.0: 28.0, 80.0: 25.0, 84.0: 9.0, 88.0: 3.0, 92.0: 4.0}};94050.0;94050.0;5;16
8.0;(51, 52, 55, 62, 68, 78, 77);1662.0;250.0;100.0;0.2;1.0;{51: 1662.0};{77: 1662.0};{51: {8.0: 1.0, 12.0: 1.0, 16.0: 2.0, 20.0: 26.0, 24.0: 83.0, 28.0: 154.0, 32.0: 166.0, 36.0: 124.0, 40.0: 143.0, 44.0: 116.0, 48.0: 106.0, 52.0: 84.0, 56.0: 90.0, 60.0: 100.0, 64.0: 111.0, 68.0: 94.0, 72.0: 97.0, 76.0: 81.0, 80.0: 46.0, 84.0: 30.0, 88.0: 4.0, 92.0: 3.0}};319935.0;319935.0;7;17
8.0;(89, 85, 72, 70, 74, 81, 66);872.0;250.0;100.0;0.2;1.0;{89: 872.0};{66: 872.0};{89: {8.0: 1.0, 16.0: 3.0, 20.0: 10.0, 24.0: 40.0, 28.0: 71.0, 32.0: 80.0, 36.0: 71.0, 40.0: 77.0, 44.0: 67.0, 48.0: 61.0, 52.0: 46.0, 56.0: 47.0, 60.0: 53.0, 64.0: 59.0, 68.0: 51.0, 72.0: 42.0, 76.0: 47.0, 80.0: 28.0, 84.0: 12.0, 88.0: 5.0, 92.0: 1.0}};167860.0;167860.0;7;18
8.0;(26, 25, 21, 22);25.0;250.0;100.0;0.2;0.3;{26: 25.0};{22: 25.0};{26: {8.0: 2.0, 92.0: 23.0}};2750.0;2750.0;4;19
8.0;(44, 43, 41, 42, 61, 65, 66, 81, 87);349.0;250.0;100.0;0.2;1.0;{44: 349.0};{87: 301.0, 65: 48.0};{44: {8.0: 1.0, 20.0: 7.0, 24.0: 14.0, 28.0: 27.0, 32.0: 42.0, 36.0: 26.0, 40.0: 21.0, 44.0: 28.0, 48.0: 17.0, 52.0: 21.0, 56.0: 17.0, 60.0: 14.0, 64.0: 23.0, 68.0: 18.0, 72.0: 22.0, 76.0: 19.0, 80.0: 17.0, 84.0: 8.0, 88.0: 7.0}};82417.5;82417.5;9;20
8.0;(64, 70, 59, 58, 54, 53, 52);270.0;250.0;100.0;0.2;0.9000000000000001;{64: 270.0};{52: 270.0};{64: {8.0: 1.0, 20.0: 3.0, 24.0: 13.0, 28.0: 29.0, 32.0: 30.0, 36.0: 23.0, 40.0: 22.0, 44.0: 19.0, 48.0: 13.0, 52.0: 8.0, 56.0: 10.0, 60.0: 19.0, 64.0: 11.0, 68.0: 24.0, 72.0: 20.0, 76.0: 15.0, 80.0: 7.0, 84.0: 3.0}};51975.0;51975.0;7;21
8.0;(76, 77, 78, 68, 62, 55, 52);1563.0;250.0;100.0;0.2;1.0;{76: 1563.0};{52: 1563.0};{76: {8.0: 1.0, 12.0: 1.0, 16.0: 8.0, 20.0: 17.0, 24.0: 69.0, 28.0: 153.0, 32.0: 130.0, 36.0: 134.0, 40.0: 138.0, 44.0: 114.0, 48.0: 91.0, 52.0: 80.0, 56.0: 81.0, 60.0: 98.0, 64.0: 106.0, 68.0: 91.0, 72.0: 98.0, 76.0: 74.0, 80.0: 41.0, 84.0: 22.0, 88.0: 13.0, 92.0: 3.0}};300877.5;300877.5;7;22
8.0;(13, 19, 10, 9);6.0;250.0;100.0;0.2;0.8000000000000003;{13: 6.0};{9: 6.0};{13: {8.0: 2.0, 12.0: 4.0}};660.0;660.0;4;23
8.0;(9, 10, 19, 13);2.0;250.0;100.0;0.2;0.8000000000000003;{9: 2.0};{13: 2.0};{9: {8.0: 2.0}};220.0;220.0;4;24
8.0;(22, 21, 25, 29);47.0;250.0;100.0;0.2;0.9000000000000001;{22: 47.0};{29: 47.0};{22: {8.0: 1.0, 12.0: 2.0, 16.0: 13.0, 88.0: 31.0}};5170.0;5170.0;4;25
8.0;(59, 70, 74, 81, 66);6716.0;250.0;100.0;0.2;1.0;{59: 6716.0};{66: 6716.0};{59: {8.0: 2.0, 12.0: 3.0, 16.0: 26.0, 20.0: 93.0, 24.0: 307.0, 28.0: 639.0, 32.0: 621.0, 36.0: 566.0, 40.0: 492.0, 44.0: 474.0, 48.0: 342.0, 52.0: 329.0, 56.0: 346.0, 60.0: 381.0, 64.0: 458.0, 68.0: 483.0, 72.0: 451.0, 76.0: 316.0, 80.0: 223.0, 84.0: 101.0, 88.0: 45.0, 92.0: 18.0}};923450.0;923450.0;5;26
8.0;(27, 26, 29, 30, 54, 58, 59, 71, 73, 77);182.0;250.0;100.0;0.2;1.0;{27: 182.0};{77: 167.0, 58: 15.0};{27: {8.0: 1.0, 20.0: 4.0, 24.0: 6.0, 28.0: 15.0, 32.0: 13.0, 36.0: 11.0, 40.0: 6.0, 44.0: 20.0, 48.0: 12.0, 52.0: 7.0, 56.0: 10.0, 60.0: 9.0, 64.0: 19.0, 68.0: 12.0, 72.0: 19.0, 76.0: 5.0, 80.0: 10.0, 84.0: 1.0, 88.0: 2.0}};48400.0;48400.0;10;27
8.0;(13, 19, 22, 23);1.0;250.0;100.0;0.2;0.7000000000000002;{13: 1.0};{23: 1.0};{13: {8.0: 1.0}};110.0;110.0;4;28
8.0;(13, 20, 25, 26);62.0;250.0;100.0;0.2;1.0;{13: 62.0};{26: 62.0};{13: {8.0: 1.0, 88.0: 61.0}};6820.0;6820.0;4;29
8.0;(2, 8, 9, 10, 22, 23);51.0;250.0;100.0;0.2;1.0;{2: 51.0};{23: 46.0, 22: 5.0};{2: {8.0: 1.0, 12.0: 1.0, 16.0: 2.0, 24.0: 38.0, 88.0: 8.0, 92.0: 1.0}};8277.5;8277.5;6;30
8.0;(16, 18, 32, 33, 34, 46, 47, 48, 61, 63);2.0;250.0;100.0;0.2;0.8000000000000003;{16: 2.0};{63: 1.0, 46: 1.0};{16: {8.0: 2.0}};440.0;440.0;10;31
8.0;(23, 22, 10, 9, 8, 2);144.0;250.0;100.0;0.2;1.0;{23: 144.0};{2: 124.0, 9: 20.0};{23: {8.0: 1.0, 12.0: 3.0, 16.0: 5.0, 24.0: 37.0, 52.0: 52.0, 80.0: 32.0, 84.0: 9.0, 88.0: 5.0}};22660.0;22660.0;6;32
8.0;(9, 8, 2, 3, 4, 5, 6, 7, 15);84.0;250.0;100.0;0.2;1.0;{9: 84.0};{15: 43.0, 6: 27.0, 4: 6.0, 5: 8.0};{9: {8.0: 1.0, 20.0: 1.0, 24.0: 9.0, 28.0: 8.0, 32.0: 6.0, 36.0: 7.0, 40.0: 6.0, 44.0: 10.0, 48.0: 5.0, 52.0: 5.0, 56.0: 4.0, 60.0: 6.0, 64.0: 4.0, 68.0: 4.0, 72.0: 5.0, 76.0: 2.0, 80.0: 1.0}};17985.0;17985.0;9;33
8.0;(87, 74, 70, 71, 73, 77);3291.0;250.0;100.0;0.2;1.0;{87: 3291.0};{77: 3291.0};{87: {8.0: 1.0, 12.0: 1.0, 16.0: 12.0, 20.0: 43.0, 24.0: 163.0, 28.0: 306.0, 32.0: 328.0, 36.0: 270.0, 40.0: 264.0, 44.0: 223.0, 48.0: 171.0, 52.0: 186.0, 56.0: 172.0, 60.0: 180.0, 64.0: 205.0, 68.0: 221.0, 72.0: 203.0, 76.0: 176.0, 80.0: 94.0, 84.0: 48.0, 88.0: 19.0, 92.0: 5.0}};543015.0;543015.0;6;34
8.0;(45, 34, 33, 32, 18, 7);8.0;250.0;100.0;0.2;0.9000000000000001;{45: 8.0};{7: 8.0};{45: {8.0: 1.0, 48.0: 7.0}};1320.0;1320.0;6;35
8.0;(29, 25, 21, 22);11.0;250.0;100.0;0.2;0.3;{29: 11.0};{22: 11.0};{29: {8.0: 1.0, 16.0: 10.0}};1210.0;1210.0;4;36
8.0;(87, 81, 66, 65, 61, 42, 41, 43, 44);557.0;250.0;100.0;0.2;1.0;{87: 557.0};{44: 557.0};{87: {8.0: 1.0, 12.0: 1.0, 16.0: 1.0, 20.0: 5.0, 24.0: 22.0, 28.0: 54.0, 32.0: 45.0, 36.0: 50.0, 40.0: 43.0, 44.0: 36.0, 48.0: 34.0, 52.0: 26.0, 56.0: 24.0, 60.0: 27.0, 64.0: 46.0, 68.0: 44.0, 72.0: 33.0, 76.0: 27.0, 80.0: 24.0, 84.0: 9.0, 88.0: 5.0}};137857.5;137857.5;9;37
8.0;(9, 10, 21, 25, 26, 27);563.0;250.0;100.0;0.2;1.0;{9: 563.0};{27: 69.0, 26: 494.0};{9: {8.0: 1.0, 16.0: 2.0, 24.0: 32.0, 28.0: 53.0, 32.0: 60.0, 36.0: 34.0, 40.0: 36.0, 44.0: 42.0, 48.0: 38.0, 52.0: 31.0, 56.0: 39.0, 60.0: 47.0, 64.0: 33.0, 68.0: 32.0, 72.0: 39.0, 76.0: 26.0, 80.0: 10.0, 84.0: 5.0, 88.0: 3.0}};79310.0;79310.0;6;38
8.0;(30, 54, 58, 59, 71, 73, 77);736.0;250.0;100.0;0.2;1.0;{30: 736.0};{77: 736.0};{30: {8.0: 1.0, 12.0: 2.0, 20.0: 12.0, 24.0: 38.0, 28.0: 62.0, 32.0: 60.0, 36.0: 58.0, 40.0: 57.0, 44.0: 51.0, 48.0: 37.0, 52.0: 42.0, 56.0: 40.0, 60.0: 49.0, 64.0: 48.0, 68.0: 48.0, 72.0: 49.0, 76.0: 49.0, 80.0: 19.0, 84.0: 7.0, 88.0: 6.0, 92.0: 1.0}};141680.0;141680.0;7;39
12.0;(26, 25, 21, 10, 9, 8, 1);292.0;250.0;100.0;0.2;1.0;{26: 292.0};{1: 179.0, 9: 12.0, 10: 101.0};{26: {12.0: 8.0, 20.0: 3.0, 24.0: 6.0, 28.0: 19.0, 32.0: 13.0, 36.0: 19.0, 40.0: 13.0, 44.0: 17.0, 48.0: 17.0, 52.0: 9.0, 56.0: 9.0, 60.0: 8.0, 64.0: 5.0, 68.0: 9.0, 72.0: 6.0, 76.0: 9.0, 80.0: 10.0, 84.0: 98.0, 92.0: 14.0}};47217.5;47217.5;7;40
12.0;(41, 43, 44, 45, 49);17.0;250.0;100.0;0.2;1.0;{41: 17.0};{49: 17.0};{41: {12.0: 1.0, 24.0: 1.0, 28.0: 1.0, 32.0: 1.0, 36.0: 2.0, 40.0: 1.0, 44.0: 1.0, 48.0: 1.0, 64.0: 2.0, 72.0: 2.0, 76.0: 3.0, 84.0: 1.0}};2337.5;2337.5;5;41
12.0;(13, 20, 25, 26, 27);9393.0;250.0;100.0;0.2;1.0;{13: 9393.0};{27: 789.0, 26: 8604.0};{13: {12.0: 6.0, 16.0: 24.0, 20.0: 142.0, 24.0: 513.0, 28.0: 825.0, 32.0: 899.0, 36.0: 761.0, 40.0: 723.0, 44.0: 658.0, 48.0: 506.0, 52.0: 464.0, 56.0: 532.0, 60.0: 590.0, 64.0: 622.0, 68.0: 638.0, 72.0: 611.0, 76.0: 458.0, 80.0: 268.0, 84.0: 125.0, 92.0: 28.0}};1054927.5;1054927.5;5;42
12.0;(10, 21, 25, 26, 27);5961.0;250.0;100.0;0.2;1.0;{10: 5961.0};{27: 103.0, 26: 5858.0};{10: {12.0: 4.0, 16.0: 16.0, 20.0: 91.0, 24.0: 317.0, 28.0: 560.0, 32.0: 544.0, 36.0: 450.0, 40.0: 458.0, 44.0: 395.0, 48.0: 376.0, 52.0: 292.0, 56.0: 319.0, 60.0: 346.0, 64.0: 418.0, 68.0: 397.0, 72.0: 379.0, 76.0: 302.0, 80.0: 163.0, 84.0: 92.0, 88.0: 42.0}};658542.5;658542.5;5;43
12.0;(66, 81, 74, 70, 72, 85, 89);835.0;250.0;100.0;0.2;1.0;{66: 835.0};{89: 835.0};{66: {12.0: 1.0, 16.0: 3.0, 20.0: 11.0, 24.0: 42.0, 28.0: 74.0, 32.0: 83.0, 36.0: 52.0, 40.0: 76.0, 44.0: 53.0, 48.0: 44.0, 52.0: 54.0, 56.0: 38.0, 60.0: 47.0, 64.0: 64.0, 68.0: 56.0, 72.0: 56.0, 76.0: 52.0, 80.0: 17.0, 84.0: 10.0, 88.0: 2.0}};160737.5;160737.5;7;44
12.0;(9, 10, 19, 13, 12);8750.0;250.0;100.0;0.2;1.0;{9: 8750.0};{12: 2882.0, 13: 5868.0};{9: {12.0: 5.0, 16.0: 26.0, 20.0: 125.0, 24.0: 456.0, 28.0: 847.0, 32.0: 831.0, 36.0: 662.0, 40.0: 647.0, 44.0: 625.0, 48.0: 483.0, 52.0: 426.0, 56.0: 443.0, 60.0: 514.0, 64.0: 568.0, 68.0: 624.0, 72.0: 533.0, 76.0: 426.0, 80.0: 287.0, 84.0: 146.0, 88.0: 51.0, 92.0: 25.0}};1041755.0;1041755.0;5;45
12.0;(29, 25, 21, 22, 23);51.0;250.0;100.0;0.2;0.9000000000000001;{29: 51.0};{23: 5.0, 22: 46.0};{29: {12.0: 2.0, 20.0: 49.0}};5747.5;5747.5;5;46
