ID,segment_id,pois_type,type_ID,dir,dist_along_segment,ID,demand_0,tc_0,demand_1,tc_1
75,7.0,ra,46.0,2,6667.9554,75,62.612101206000006,939.0,0.5448285100000035,1018.0
76,7.0,ra,47.0,2,6721.4749,76,0.5025481050000031,939.0,189.07382206000003,1018.0
77,7.0,link,2.0,2,25294.5419,77,174.40109913,939.0,0.0,1018.0
78,8.0,link,2.0,2,0.0,78,0.0,1671.0,136.01848399000002,1502.0
79,8.0,ra,52.0,2,9055.8245,79,151.32282739500002,1671.0,0.0,0.0
80,8.0,od,14.0,2,21173.6853,80,202.48945396800002,1671.0,0.0,0.0
81,8.0,link,,2,21173.6853,81,0.0,3173.0,0.0,0.0
82,9.0,link,2.0,2,0.0,82,0.0,0.0,0.0,0.0
83,9.0,ra,55.0,2,15445.3718,83,0.0,0.0,0.0,0.0
84,9.0,od,27.0,2,33157.1268,84,0.0,0.0,0.0,0.0
85,9.0,link,7.0,2,33157.1268,85,0.0,0.0,0.0,0.0
86,10.0,link,3.0,2,0.0,86,0.0,1387.0,199.71098775000002,1350.0
87,10.0,ra,53.0,2,14793.4065,87,205.18454815500002,1387.0,5.860741500000011,1350.0
88,10.0,link,4.0,2,15227.5355,88,6.021369230000012,1387.0,0.0,1350.0
89,11.0,link,3.0,2,0.0,89,0.0,33.0,2.4386204850000004,35.0
90,11.0,ra,54.0,2,6967.4871,90,2.299270743,33.0,2.480065385,35.0
91,11.0,ra,56.0,1,14053.3882,91,0.0,0.0,2.0388556650000003,35.0
92,11.0,link,5.0,2,19878.6901,92,4.26069699,33.0,0.0,35.0
93,12.0,link,4.0,2,0.0,93,0.0,1218.0,165.44218409200002,1201.0
94,12.0,ra,58.0,0,13722.6357,94,167.14170282600003,1218.0,0.0,0.0
95,12.0,ra,57.0,1,13775.3692,95,0.0,0.0,83.466216466,1201.0
96,12.0,link,5.0,2,20725.0958,96,85.28996401799998,1218.0,0.0,1201.0
97,13.0,link,4.0,2,0.0,97,0.0,9307.0,1845.6792132870003,9477.0
98,13.0,od,17.0,2,19475.3531,98,1812.571113017,9307.0,1610.22396143,9565.0
99,13.0,ra,59.0,2,36309.8953,99,1593.38941923,9465.0,1786.4548013100002,9565.0
100,13.0,ra,63.0,1,54986.8927,100,0.0,0.0,1297.2330002400004,9565.0
101,13.0,ra,62.0,0,55258.2919,101,1793.4657381900001,9465.0,0.0,0.0
102,13.0,od,18.0,2,68549.1823,102,1257.9827763600006,9465.0,1535.6653635180003,8943.0
103,13.0,ra,70.0,2,85720.8849,103,1510.9381117740004,8799.0,574.7802749039997,8943.0
104,13.0,ra,71.0,1,92148.0377,104,0.0,0.0,2604.746282358,8943.0
105,13.0,ra,75.0,0,106351.1983,105,1815.261276066,8799.0,0.0,0.0
106,13.0,ra,80.0,2,121274.1283,106,1313.0686106999995,8799.0,1014.3902616869997,8943.0
107,13.0,link,8.0,2,132616.9692,107,998.0565707909998,8799.0,0.0,8943.0
108,14.0,link,5.0,2,0.0,108,0.0,1251.0,57.272926284,1236.0
109,14.0,ra,61.0,0,4629.4826,109,57.91482732600001,1251.0,0.0,0.0
110,14.0,ra,60.0,1,4633.7319,110,0.0,0.0,24.261054660000006,1236.0
111,14.0,link,6.0,2,6596.6004,111,24.608643678000004,1251.0,0.0,1236.0
112,15.0,link,6.0,2,0.0,112,0.0,2277.0,181.308655641,2287.0
113,15.0,od,21.0,2,7927.7943,113,180.51587621099998,2277.0,153.53037951800002,862.0
114,15.0,ra,64.0,1,25738.7432,114,0.0,0.0,169.976574924,862.0
115,15.0,ra,65.0,0,25740.9022,115,151.94581038700005,853.0,0.0,0.0
116,15.0,od,22.0,2,45457.6034,116,168.183461236,853.0,0.0,0.0
117,15.0,link,,2,48631.1786,117,0.0,0.0,0.0,0.0
118,16.0,link,6.0,2,0.0,118,0.0,1642.0,199.163280162,1617.0
119,16.0,ra,66.0,1,12316.8386,119,0.0,0.0,333.37548967800006,1617.0
120,16.0,ra,67.0,0,12575.9467,120,206.49704481400005,1642.0,0.0,0.0
121,16.0,ra,72.0,0,25449.0803,121,211.37685371200004,1642.0,0.0,0.0
122,16.0,ra,74.0,1,32933.752,122,0.0,0.0,268.93566268800004,1617.0
123,16.0,ra,76.0,0,49497.4689,123,394.874540812,1642.0,0.0,0.0
124,16.0,ra,77.0,1,49565.5184,124,0.0,0.0,291.5523829680001,1617.0
125,16.0,ra,82.0,1,67595.9688,125,0.0,0.0,49.91563707900007,1617.0
126,16.0,ra,83.0,0,68666.0746,126,314.7485055940001,1642.0,0.0,0.0
127,16.0,od,24.0,2,70682.8975,127,33.11623201799999,1642.0,207.2968537599998,2005.0
128,16.0,ra,86.0,1,81021.8927,128,0.0,0.0,224.1914168400001,2005.0
129,16.0,ra,89.0,0,92123.3791,129,447.891660624,2089.0,0.0,0.0
130,16.0,ra,90.0,1,92203.5095,130,0.0,0.0,277.5442723549999,2005.0
131,16.0,ra,94.0,2,106046.1166,131,290.84598637499977,2089.0,157.82746871000026,2005.0
132,16.0,link,12.0,2,113917.8108,132,164.43969183800027,2089.0,0.0,2005.0
133,17.0,link,,2,0.0,133,0.0,0.0,0.0,0.0
134,17.0,link,7.0,2,109.925,134,0.0,0.0,0.0,0.0
135,18.0,link,7.0,2,0.0,135,0.0,931.0,9.332240400000002,900.0
136,18.0,od,28.0,2,1036.9156,136,9.653684236,931.0,518.8748177880001,4588.0
137,18.0,ra,68.0,0,12318.138,137,517.6952959360001,4589.0,0.0,0.0
138,18.0,ra,69.0,1,12346.3057,138,0.0,0.0,680.860287356,4588.0
139,18.0,ra,73.0,2,27186.3294,139,682.3013033459999,4589.0,2276.8247440040004,4588.0
140,18.0,ra,81.0,2,76811.9777,140,2277.321000487,4589.0,690.9749829800002,4588.0
141,18.0,ra,84.0,0,91803.7907,141,687.9742985699999,4589.0,0.0,0.0
142,18.0,ra,85.0,1,91872.4612,142,0.0,0.0,1351.7290164199994,4588.0
143,18.0,ra,92.0,2,121334.7327,143,1355.1749283799998,4589.0,217.50785812000063,4588.0
144,18.0,link,11.0,2,126075.5317,144,217.55526611000062,4589.0,0.0,4588.0
145,19.0,link,7.0,2,0.0,145,0.0,0.0,0.0,0.0
146,19.0,link,,2,18219.5771,146,0.0,0.0,0.0,0.0
147,20.0,link,,2,0.0,147,0.0,0.0,0.0,0.0
148,20.0,od,32.0,2,15887.6367,148,0.0,0.0,19.365671468000002,299.0
149,20.0,ra,78.0,0,22308.8999,149,19.456427496000007,303.0,0.0,0.0
150,20.0,ra,79.0,1,22364.4499,150,0.0,0.0,44.517448013999996,299.0
151,20.0,link,8.0,2,37253.2285,151,45.281315658,303.0,0.0,299.0
152,21.0,link,8.0,2,0.0,152,0.0,0.0,0.0,0.0
153,21.0,ra,87.0,2,29246.6422,153,0.0,0.0,0.0,0.0
154,21.0,link,10.0,2,32474.4736,154,0.0,0.0,0.0,0.0
155,22.0,link,8.0,2,0.0,155,0.0,8504.0,2203.886696004,8644.0
156,22.0,link,9.0,2,25496.1441,156,2168.1920942640004,8504.0,0.0,8644.0
157,23.0,link,,2,0.0,157,0.0,0.0,0.0,0.0
158,23.0,link,9.0,2,348.031,158,0.0,0.0,0.0,0.0
159,24.0,link,9.0,2,0.0,159,0.0,1746.0,83.189312544,1698.0
160,24.0,od,36.0,2,4899.2528,160,85.54095388800002,1746.0,91.71684385200003,1653.0
161,24.0,ra,88.0,0,7001.1249,161,35.920994189,1709.0,0.0,0.0
162,24.0,ra,91.0,1,10447.7612,162,0.0,0.0,337.370240037,1653.0
163,24.0,ra,97.0,0,30840.5692,163,407.41610308700007,1709.0,0.0,0.0
164,24.0,ra,98.0,1,30857.3341,164,0.0,0.0,411.74270368500004,1653.0
165,24.0,ra,108.0,2,55766.1486,165,425.978151946,1709.0,334.47769831500005,1653.0
166,24.0,ra,114.0,2,76000.7341,166,345.80906619500007,1709.0,35.948463770999915,1653.0
167,24.0,link,15.0,2,78175.4748,167,37.16631856299992,1709.0,0.0,1653.0
168,25.0,link,9.0,2,0.0,168,0.0,7440.0,2688.730605928,7628.0
169,25.0,link,10.0,2,35248.1726,169,2622.46404144,7440.0,0.0,7628.0
170,26.0,link,10.0,2,0.0,170,0.0,7440.0,1020.6962801080001,7628.0
171,26.0,od,38.0,2,13380.9161,171,995.5401578400001,7440.0,699.2722976220002,6511.0
172,26.0,link,11.0,2,24120.7763,172,702.4942556820001,6541.0,0.0,6511.0
173,27.0,link,11.0,2,0.0,173,0.0,528.0,81.4672668,516.0
174,27.0,ra,99.0,0,15398.2815,174,81.30292632,528.0,0.0,0.0
175,27.0,ra,100.0,1,15788.23,175,0.0,0.0,50.721604428000006,516.0
176,27.0,od,39.0,2,25617.9983,176,53.960104704,528.0,11.414404504000004,178.0
177,27.0,ra,107.0,2,32030.5851,177,11.735033844000002,183.0,35.933217602,178.0
178,27.0,ra,111.0,0,51994.4553,178,36.533882466,183.0,0.0,0.0
179,27.0,ra,110.0,1,52217.786,179,0.0,0.0,50.260169,178.0
180,27.0,ra,113.0,2,80453.836,180,52.08066668099999,183.0,3.5528146740000057,178.0
181,27.0,od,40.0,2,82449.7993,181,3.652612839000006,183.0,52.621516824,212.0
182,27.0,ra,115.0,0,99290.1863,182,36.712043660000006,218.0,0.0,0.0
183,27.0,ra,116.0,2,107271.2695,183,17.39876137599999,218.0,45.84127643200001,212.0
184,27.0,link,15.0,2,128894.5131,184,47.13867104800001,218.0,0.0,212.0
185,28.0,link,11.0,2,0.0,185,0.0,1762.0,388.06354885200005,1743.0
186,28.0,ra,93.0,0,3445.5591,186,60.71075134200001,1762.0,0.0,0.0
187,28.0,ra,95.0,0,21968.3457,187,326.3714998920001,1762.0,0.0,0.0
188,28.0,ra,96.0,1,22264.1164,188,0.0,0.0,97.60613324700006,1743.0
189,28.0,od,41.0,2,27864.0093,189,103.88159263200001,1762.0,0.0,0.0
190,28.0,link,,2,40879.2797,190,0.0,0.0,0.0,0.0
191,29.0,od,43.0,2,0.0,191,0.0,0.0,0.0,0.0
192,29.0,link,,2,0.0,192,0.0,0.0,59.647894722000004,618.0
193,29.0,link,13.0,2,9651.7629,193,60.033965238,622.0,0.0,618.0
194,30.0,link,12.0,2,0.0,194,0.0,864.0,134.55679864600003,878.0
195,30.0,ra,101.0,0,1882.305,195,16.2631152,864.0,0.0,0.0
196,30.0,ra,102.0,1,15325.3757,196,0.0,0.0,105.23896682200001,878.0
197,30.0,ra,103.0,0,15632.2115,197,118.79919216,864.0,0.0,0.0
198,30.0,link,13.0,2,27311.5906,198,100.90983542400001,864.0,0.0,878.0
199,31.0,link,12.0,2,0.0,199,0.0,1225.0,114.65849383800001,1127.0
200,31.0,ra,106.0,1,10173.7794,200,0.0,0.0,137.08116862999998,1127.0
201,31.0,ra,105.0,0,10175.4294,201,124.64901015000001,1225.0,0.0,0.0
202,31.0,ra,109.0,2,22337.1484,202,148.98105775,1225.0,21.24468255000003,1127.0
203,31.0,link,14.0,2,24222.2134,203,23.09204625000003,1225.0,0.0,1127.0
204,32.0,link,13.0,2,0.0,204,0.0,340.0,7.9457451500000005,350.0
205,32.0,ra,104.0,2,2270.2129,205,7.71872386,340.0,116.00174635000002,350.0
206,32.0,link,16.0,2,35413.569,206,112.68741074000002,340.0,0.0,350.0
207,33.0,link,14.0,2,0.0,207,0.0,190.0,4.451211450000001,174.0
208,33.0,od,47.0,2,2558.1675,208,4.86051825,190.0,0.0,0.0
209,33.0,link,,2,22213.6118,209,0.0,0.0,0.0,0.0
210,34.0,link,14.0,2,0.0,210,0.0,1196.0,162.82211300400002,1114.0
211,34.0,ra,112.0,2,14615.9886,211,174.80722365600002,1196.0,197.66008907000003,1114.0
212,34.0,ra,120.0,0,26934.1492,212,147.325200776,1196.0,0.0,0.0
213,34.0,od,49.0,2,32359.2641,213,64.88437420400001,1196.0,66.23602801999999,1130.0
214,34.0,link,20.0,2,38220.8595,214,71.04253624799998,1212.0,0.0,1130.0
215,35.0,link,,2,0.0,215,0.0,0.0,0.0,0.0
216,35.0,link,16.0,2,35104.463,216,0.0,0.0,0.0,0.0
217,36.0,link,15.0,2,0.0,217,0.0,1864.0,124.06344908200002,1802.0
218,36.0,ra,121.0,0,5978.4063,218,111.43749343200001,1864.0,0.0,0.0
219,36.0,ra,122.0,1,6884.7641,219,0.0,0.0,70.19962921800001,1802.0
220,36.0,link,17.0,2,10780.415,220,89.50944216800004,1864.0,0.0,1802.0
221,37.0,link,16.0,2,0.0,221,0.0,340.0,34.61949225,350.0
222,37.0,ra,117.0,0,1531.6016,222,5.207445440000001,340.0,0.0,0.0
223,37.0,link,18.0,2,9891.2835,223,28.42291846,340.0,0.0,350.0
224,38.0,link,17.0,2,0.0,224,0.0,1860.0,97.80200386400001,1816.0
225,38.0,ra,118.0,1,5385.5729,225,0.0,0.0,161.118086008,1816.0
226,38.0,ra,119.0,0,7097.7861,226,132.01882146,1860.0,0.0,0.0
227,38.0,ra,123.0,1,14257.7142,227,0.0,0.0,41.819545343999984,1816.0
228,38.0,ra,124.0,0,14300.5055,228,133.97058084,1860.0,0.0,0.0
229,38.0,od,54.0,2,16560.5526,229,42.03687606,1860.0,291.03195659200003,1937.0
230,38.0,link,22.0,2,31585.4342,230,295.53942107200004,1967.0,0.0,1937.0
231,39.0,link,17.0,2,0.0,231,0.0,55.0,3.78544965,37.0
232,39.0,od,56.0,2,10230.945,232,5.6270197500000005,55.0,0.0,0.0
233,39.0,link,24.0,2,17071.7299,233,0.0,0.0,0.0,0.0
234,40.0,link,18.0,2,0.0,234,0.0,702.0,100.22130618400001,727.0
235,40.0,link,26.0,2,13785.5992,235,96.774906384,702.0,0.0,727.0
236,41.0,link,18.0,2,0.0,236,0.0,471.0,7.162035864000001,456.0
237,41.0,ra,126.0,1,1570.6219,237,0.0,0.0,82.50891633599998,456.0
238,41.0,ra,125.0,0,1588.9998,238,7.484189058000001,471.0,0.0,0.0
239,41.0,link,25.0,2,19664.6825,239,85.136465517,471.0,0.0,456.0
240,42.0,link,,2,0.0,240,0.0,0.0,0.0,0.0
241,42.0,link,21.0,2,974.9931,241,0.0,0.0,0.0,0.0
242,43.0,link,20.0,2,0.0,242,0.0,1988.0,194.61071134500003,1945.0
243,43.0,ra,127.0,2,10005.6921,243,198.91315894800002,1988.0,6.904427129999984,1945.0
244,43.0,link,22.0,2,10360.6755,244,7.057069991999984,1988.0,0.0,1945.0
245,44.0,link,20.0,2,0.0,245,0.0,2096.0,90.30326884700001,2057.0
246,44.0,link,21.0,2,4390.0471,246,92.01538721600001,2096.0,0.0,2057.0
247,45.0,link,20.0,2,0.0,247,0.0,0.0,0.0,0.0
248,45.0,ra,129.0,2,9849.379,248,0.0,0.0,0.0,0.0
249,45.0,link,27.0,2,16227.5537,249,0.0,0.0,0.0,0.0
250,46.0,link,21.0,2,0.0,250,0.0,2096.0,193.45170046400006,2057.0
251,46.0,link,23.0,2,9404.5552,251,197.11947699200002,2096.0,0.0,2057.0
252,47.0,link,22.0,2,0.0,252,0.0,302.0,45.376608312,229.0
253,47.0,ra,128.0,2,19815.1128,253,59.841640655999996,302.0,22.449370365000007,229.0
254,47.0,link,28.0,2,29618.3313,254,29.60571987000001,302.0,0.0,229.0
255,48.0,link,24.0,2,0.0,255,0.0,0.0,0.0,0.0
256,48.0,link,,2,34790.8303,256,0.0,0.0,0.0,0.0
257,49.0,od,68.0,2,0.0,257,0.0,0.0,0.0,0.0
258,49.0,link,,2,0.0,258,0.0,0.0,12.055890920000003,1640.0
259,49.0,link,23.0,2,735.1153,259,11.658928658,1586.0,0.0,1640.0
260,50.0,link,23.0,2,0.0,260,0.0,456.0,12.531018114000002,471.0
261,50.0,link,25.0,2,2660.5134,261,12.131941104,456.0,0.0,471.0
262,51.0,link,23.0,2,0.0,262,0.0,0.0,0.0,0.0
263,51.0,ra,130.0,0,2344.9973,263,0.0,0.0,0.0,0.0
264,51.0,link,27.0,2,7784.5887,264,0.0,0.0,0.0,0.0
265,52.0,link,24.0,2,0.0,265,0.0,0.0,0.0,0.0
266,52.0,link,,2,776.1827,266,0.0,0.0,0.0,0.0
267,53.0,link,24.0,2,0.0,267,0.0,0.0,0.0,0.0
268,53.0,link,28.0,2,9705.4865,268,0.0,0.0,0.0,0.0
269,54.0,link,25.0,2,0.0,269,0.0,0.0,0.0,0.0
270,54.0,ra,131.0,2,14118.0596,270,0.0,0.0,0.0,0.0
271,54.0,link,26.0,2,19751.6727,271,0.0,0.0,0.0,0.0
272,55.0,link,26.0,2,0.0,272,0.0,702.0,77.892473183,727.0
273,55.0,ra,132.0,2,10714.2329,273,75.21391495800002,702.0,214.65951830100002,727.0
274,55.0,od,70.0,2,40240.9892,274,207.27782922600002,702.0,0.0,0.0
275,55.0,link,,2,47911.3669,275,0.0,0.0,0.0,0.0
276,56.0,link,27.0,2,0.0,276,0.0,0.0,0.0,0.0
277,56.0,ra,134.0,1,14670.9425,277,0.0,0.0,0.0,0.0
278,56.0,ra,133.0,0,14715.4883,278,0.0,0.0,0.0,0.0
279,56.0,ra,135.0,2,20490.1826,279,0.0,0.0,0.0,0.0
280,56.0,link,29.0,2,31051.5112,280,0.0,0.0,0.0,0.0
281,57.0,link,28.0,2,0.0,281,0.0,0.0,0.0,0.0
282,57.0,link,,2,6137.9063,282,0.0,0.0,0.0,0.0
283,58.0,link,28.0,2,0.0,283,0.0,302.0,0.0,0.0
284,58.0,od,74.0,2,3692.22,284,11.1505044,302.0,0.0,0.0
285,58.0,link,,2,3692.22,285,0.0,531.0,0.0,0.0
286,59.0,link,29.0,2,0.0,286,0.0,0.0,0.0,0.0
287,59.0,ra,137.0,0,25939.7161,287,0.0,0.0,0.0,0.0
288,59.0,ra,138.0,1,26235.492,288,0.0,0.0,0.0,0.0
289,59.0,od,75.0,2,27032.7505,289,0.0,0.0,0.0,0.0
290,59.0,link,,2,27032.7505,290,0.0,0.0,0.0,0.0
291,60.0,link,29.0,2,0.0,291,0.0,0.0,0.0,0.0
292,60.0,ra,136.0,2,10738.6316,292,0.0,0.0,0.0,0.0
293,60.0,link,,2,22135.2935,293,0.0,0.0,0.0,0.0
