start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
36.0;(4, 3, 2, 7, 8, 9, 19, 12);1.0;110.0;60.0;0.209;0.5;{4: 1.0};{12: 1.0};{4: {36.0: 1.0}};8;809
36.0;(32, 33, 45, 46, 47, 60, 62, 63, 73, 86);3.0;41.0;55.0;0.236;0.6;{32: 3.0};{86: 3.0};{32: {36.0: 2.0, 44.0: 1.0}};10;810
36.0;(14, 6, 5, 4, 3, 2, 7, 8, 9, 22, 23);5.0;41.0;55.0;0.236;1.0;{14: 5.0};{23: 1.0, 8: 4.0};{14: {36.0: 5.0}};11;811
36.0;(48, 45, 46, 47, 60, 62, 63, 69, 70, 72, 76);2.0;41.0;55.0;0.236;1.0;{48: 2.0};{76: 2.0};{48: {36.0: 2.0}};11;812
36.0;(2, 7, 8, 9, 21, 25, 26, 27);1.0;41.0;55.0;0.236;0.6;{2: 1.0};{27: 1.0};{2: {36.0: 1.0}};8;813
36.0;(86, 73, 63, 62, 60, 47, 46, 45, 33, 32);30.0;110.0;60.0;0.209;0.7999999999999999;{86: 30.0};{32: 11.0, 47: 19.0};{86: {36.0: 20.0, 48.0: 10.0}};10;814
36.0;(12, 19, 9, 8, 7, 2, 3, 4, 5, 6, 14);3.0;41.0;55.0;0.236;1.0;{12: 3.0};{14: 2.0, 3: 1.0};{12: {36.0: 2.0, 80.0: 1.0}};11;815
36.0;(43, 42, 38, 24, 23, 22, 21, 25, 26, 27);7.0;41.0;55.0;0.236;1.0;{43: 7.0};{27: 2.0, 26: 5.0};{43: {36.0: 6.0, 60.0: 1.0}};10;816
36.0;(27, 26, 25, 21, 22, 23, 24, 38, 42, 43);6.0;110.0;60.0;0.209;0.8999999999999999;{27: 6.0};{43: 6.0};{27: {36.0: 2.0, 76.0: 4.0}};10;817
36.0;(33, 44, 43, 42, 38, 24, 23, 22, 19, 12, 11);4.0;110.0;60.0;0.209;0.7999999999999999;{33: 4.0};{11: 4.0};{33: {36.0: 2.0, 44.0: 2.0}};11;818
36.0;(2, 7, 8, 9, 22, 23, 24, 38, 42, 43, 44, 45);3.0;110.0;60.0;0.209;0.8999999999999999;{2: 3.0};{45: 2.0, 43: 1.0};{2: {36.0: 2.0, 72.0: 1.0}};12;819
36.0;(47, 41, 40, 38, 24, 23, 22, 19, 12, 11);1.0;110.0;60.0;0.209;0.6;{47: 1.0};{11: 1.0};{47: {36.0: 1.0}};10;820
36.0;(2, 7, 8, 9, 22, 23, 24, 38, 42, 43, 44, 48);1.0;110.0;60.0;0.209;0.6;{2: 1.0};{48: 1.0};{2: {36.0: 1.0}};12;821
36.0;(27, 26, 29, 30, 52, 54, 61, 66, 82);3.0;110.0;60.0;0.209;1.0;{27: 3.0};{82: 3.0};{27: {36.0: 1.0, 68.0: 2.0}};9;822
36.0;(9, 22, 23, 24, 38, 40, 41, 60, 62, 63, 73, 86);4.0;41.0;55.0;0.236;0.7;{9: 4.0};{86: 4.0};{9: {36.0: 3.0, 56.0: 1.0}};12;823
36.0;(32, 33, 44, 43, 42, 38, 24, 23, 22, 9, 8);1.0;41.0;55.0;0.236;0.5;{32: 1.0};{8: 1.0};{32: {36.0: 1.0}};11;824
36.0;(43, 42, 40, 41, 60, 62, 63, 69, 70, 72, 76);29.0;110.0;60.0;0.209;0.8000000000000003;{43: 29.0};{76: 29.0};{43: {36.0: 18.0, 44.0: 11.0}};11;825
36.0;(11, 12, 19, 22, 23, 24, 38, 42, 43, 44, 33);1.0;41.0;55.0;0.236;0.5;{11: 1.0};{33: 1.0};{11: {36.0: 1.0}};11;826
36.0;(82, 66, 61, 54, 52, 30, 29, 26, 27);14.0;110.0;60.0;0.209;0.8999999999999999;{82: 14.0};{27: 11.0, 26: 3.0};{82: {36.0: 10.0, 44.0: 4.0}};9;827
36.0;(8, 9, 22, 23, 24, 38, 42, 43, 44, 33, 32);2.0;41.0;55.0;0.236;1.0;{8: 2.0};{32: 2.0};{8: {36.0: 1.0, 48.0: 1.0}};11;828
36.0;(46, 47, 60, 62, 63, 69, 58, 57, 55);3.0;110.0;60.0;0.209;1.0;{46: 3.0};{55: 3.0};{46: {36.0: 1.0, 56.0: 2.0}};9;829
36.0;(76, 72, 70, 69, 63, 62, 60, 47, 46);44.0;110.0;60.0;0.209;0.7999999999999999;{76: 44.0};{46: 34.0, 47: 10.0};{76: {36.0: 23.0, 56.0: 21.0}};9;830
36.0;(2, 7, 8, 9, 22, 23, 24, 38, 42, 43, 44, 33);3.0;110.0;60.0;0.209;1.0;{2: 3.0};{33: 3.0};{2: {36.0: 1.0, 48.0: 2.0}};12;831
36.0;(23, 22, 9, 8, 7, 2, 3, 4, 5);17.0;41.0;55.0;0.236;1.0;{23: 17.0};{5: 16.0, 3: 1.0};{23: {36.0: 2.0, 64.0: 15.0}};9;832
36.0;(1, 7, 8, 9, 22, 23, 24, 38, 40, 41, 60, 64);1.0;41.0;55.0;0.236;0.8999999999999999;{1: 1.0};{64: 1.0};{1: {36.0: 1.0}};12;833
36.0;(76, 72, 70, 69, 63, 62, 60, 47, 46, 45, 33, 32);9.0;110.0;60.0;0.209;1.0;{76: 9.0};{32: 8.0, 33: 1.0};{76: {36.0: 4.0, 48.0: 5.0}};12;834
36.0;(32, 33, 45, 46, 47, 60, 62, 63, 69, 58);1.0;110.0;60.0;0.209;0.7999999999999999;{32: 1.0};{58: 1.0};{32: {36.0: 1.0}};10;835
36.0;(76, 72, 70, 69, 63, 62, 60, 41, 40, 38, 24);97.0;110.0;60.0;0.209;0.7999999999999999;{76: 97.0};{24: 87.0, 41: 10.0};{76: {36.0: 11.0, 76.0: 86.0}};11;836
36.0;(43, 42, 40, 41, 60, 62, 63, 69, 58, 57, 55);5.0;110.0;60.0;0.209;1.0;{43: 5.0};{55: 4.0, 58: 1.0};{43: {36.0: 2.0, 44.0: 3.0}};11;837
36.0;(12, 19, 22, 23, 24, 38, 42, 43, 44, 33);2.0;110.0;60.0;0.209;0.8999999999999999;{12: 2.0};{33: 2.0};{12: {36.0: 1.0, 44.0: 1.0}};10;838
36.0;(33, 45, 46, 47, 60, 62, 63, 69, 70, 72, 76);5.0;110.0;60.0;0.209;0.8999999999999999;{33: 5.0};{76: 5.0};{33: {36.0: 4.0, 44.0: 1.0}};11;839
36.0;(11, 12, 19, 9, 8, 7, 2, 3);8.0;110.0;60.0;0.209;0.8000000000000003;{11: 8.0};{3: 2.0, 2: 6.0};{11: {36.0: 8.0}};8;840
36.0;(1, 7, 8, 9, 21, 25, 26, 27);20.0;110.0;60.0;0.209;1.0000000000000002;{1: 20.0};{27: 11.0, 26: 9.0};{1: {36.0: 14.0, 44.0: 6.0}};8;841
