start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
16.0;(41, 39, 24, 23, 22, 10);2.0;250.0;100.0;0.15;0.9000000000000001;{41: 2.0};{10: 1.0, 23: 1.0};{41: {16.0: 2.0}};6;79
16.0;(44, 43, 41, 42, 61, 63, 64, 70, 71, 73, 77);581.0;250.0;100.0;0.15;1.0;{44: 581.0};{77: 581.0};{44: {16.0: 1.0, 20.0: 6.0, 24.0: 28.0, 28.0: 60.0, 32.0: 52.0, 36.0: 33.0, 40.0: 51.0, 44.0: 44.0, 48.0: 37.0, 52.0: 28.0, 56.0: 31.0, 60.0: 35.0, 64.0: 45.0, 68.0: 42.0, 72.0: 35.0, 76.0: 28.0, 80.0: 17.0, 84.0: 6.0, 88.0: 2.0}};11;80
16.0;(9, 8, 2, 3, 4, 5, 6, 7, 15);75.0;250.0;100.0;0.15;1.0;{9: 75.0};{15: 75.0};{9: {16.0: 1.0, 20.0: 3.0, 24.0: 6.0, 28.0: 5.0, 32.0: 1.0, 36.0: 11.0, 40.0: 4.0, 44.0: 4.0, 48.0: 4.0, 52.0: 7.0, 60.0: 6.0, 64.0: 3.0, 68.0: 6.0, 72.0: 4.0, 76.0: 5.0, 80.0: 3.0, 88.0: 2.0}};9;81
16.0;(29, 25, 21, 22, 23);13.0;250.0;100.0;0.15;0.7000000000000002;{29: 13.0};{23: 2.0, 22: 11.0};{29: {16.0: 13.0}};5;82
16.0;(76, 77, 73, 71, 70, 74, 87);1614.0;250.0;100.0;0.15;1.0;{76: 1614.0};{87: 1614.0};{76: {16.0: 7.0, 20.0: 19.0, 24.0: 65.0, 28.0: 141.0, 32.0: 151.0, 36.0: 148.0, 40.0: 120.0, 44.0: 124.0, 48.0: 85.0, 52.0: 74.0, 56.0: 86.0, 60.0: 93.0, 64.0: 125.0, 68.0: 109.0, 72.0: 117.0, 76.0: 67.0, 80.0: 46.0, 84.0: 24.0, 88.0: 7.0, 92.0: 6.0}};7;83
16.0;(51, 52, 53, 30, 29, 25, 21, 10, 9, 8, 1);605.0;250.0;100.0;0.15;1.0;{51: 605.0};{1: 602.0, 30: 3.0};{51: {16.0: 4.0, 20.0: 17.0, 32.0: 139.0, 36.0: 129.0, 40.0: 2.0, 44.0: 1.0, 48.0: 112.0, 52.0: 1.0, 56.0: 77.0, 60.0: 2.0, 64.0: 97.0, 68.0: 2.0, 72.0: 1.0, 84.0: 21.0}};11;84
16.0;(65, 61, 42, 41, 43, 44);39.0;250.0;100.0;0.15;1.0;{65: 39.0};{44: 39.0};{65: {16.0: 1.0, 20.0: 2.0, 24.0: 2.0, 28.0: 1.0, 32.0: 5.0, 36.0: 2.0, 40.0: 2.0, 44.0: 2.0, 48.0: 3.0, 52.0: 3.0, 56.0: 3.0, 60.0: 1.0, 64.0: 2.0, 68.0: 4.0, 72.0: 3.0, 76.0: 2.0, 80.0: 1.0}};6;85
16.0;(64, 70, 59, 58, 54, 30);29.0;250.0;100.0;0.15;1.0;{64: 29.0};{30: 29.0};{64: {16.0: 2.0, 76.0: 16.0, 80.0: 5.0, 84.0: 4.0, 88.0: 2.0}};6;86
16.0;(49, 46, 47, 48, 61, 63, 64, 70, 71, 73, 78, 82, 83);56.0;250.0;100.0;0.15;1.0;{49: 56.0};{83: 56.0};{49: {16.0: 1.0, 20.0: 2.0, 24.0: 3.0, 28.0: 3.0, 32.0: 5.0, 36.0: 7.0, 40.0: 3.0, 44.0: 4.0, 52.0: 2.0, 56.0: 5.0, 60.0: 3.0, 64.0: 5.0, 68.0: 3.0, 72.0: 4.0, 76.0: 5.0, 88.0: 1.0}};13;87
16.0;(87, 81, 66, 65, 61, 42, 41, 39, 24, 23, 22, 10, 9, 8, 2);352.0;250.0;100.0;0.15;1.0;{87: 352.0};{2: 351.0, 42: 1.0};{87: {16.0: 2.0, 24.0: 18.0, 28.0: 35.0, 32.0: 30.0, 36.0: 25.0, 40.0: 26.0, 44.0: 30.0, 48.0: 26.0, 52.0: 17.0, 60.0: 23.0, 64.0: 25.0, 68.0: 40.0, 72.0: 31.0, 80.0: 16.0, 84.0: 8.0}};15;88
16.0;(83, 82, 78, 73, 71, 70, 74, 81, 66);65.0;250.0;100.0;0.15;1.0;{83: 65.0};{66: 65.0};{83: {16.0: 1.0, 20.0: 1.0, 24.0: 7.0, 28.0: 6.0, 32.0: 6.0, 36.0: 9.0, 40.0: 7.0, 44.0: 2.0, 48.0: 5.0, 56.0: 2.0, 60.0: 3.0, 64.0: 4.0, 68.0: 1.0, 72.0: 5.0, 76.0: 3.0, 80.0: 1.0, 84.0: 1.0, 88.0: 1.0}};9;89
16.0;(6, 5, 3, 4, 2, 8, 9, 10, 21, 25, 26, 27);120.0;250.0;100.0;0.15;1.0;{6: 120.0};{27: 120.0};{6: {16.0: 1.0, 28.0: 28.0, 32.0: 7.0, 40.0: 26.0, 48.0: 19.0, 56.0: 19.0, 60.0: 20.0}};12;90
16.0;(34, 46, 47, 48, 61, 63, 64, 70, 71, 73, 77);120.0;250.0;100.0;0.15;1.0;{34: 120.0};{77: 120.0};{34: {16.0: 1.0, 20.0: 1.0, 24.0: 4.0, 28.0: 7.0, 32.0: 13.0, 36.0: 5.0, 40.0: 13.0, 44.0: 6.0, 48.0: 5.0, 52.0: 6.0, 56.0: 7.0, 60.0: 8.0, 64.0: 11.0, 68.0: 11.0, 72.0: 5.0, 76.0: 5.0, 80.0: 6.0, 84.0: 1.0, 88.0: 4.0, 92.0: 1.0}};11;91
16.0;(47, 48, 61, 63, 64, 70, 72, 85, 89);73.0;250.0;100.0;0.15;1.0;{47: 73.0};{89: 68.0, 63: 5.0};{47: {16.0: 6.0, 24.0: 2.0, 28.0: 7.0, 32.0: 5.0, 36.0: 5.0, 40.0: 6.0, 44.0: 6.0, 48.0: 5.0, 52.0: 4.0, 56.0: 1.0, 60.0: 1.0, 64.0: 3.0, 68.0: 4.0, 72.0: 11.0, 76.0: 3.0, 80.0: 4.0}};9;92
16.0;(23, 22, 10, 9, 8, 2);86.0;250.0;100.0;0.15;0.8000000000000003;{23: 86.0};{2: 86.0};{23: {16.0: 4.0, 52.0: 56.0, 84.0: 19.0, 88.0: 5.0, 92.0: 2.0}};6;93
16.0;(3, 4, 5, 6, 7, 18, 32, 33, 34, 46);80.0;250.0;100.0;0.15;1.0;{3: 80.0};{46: 79.0, 33: 1.0};{3: {16.0: 2.0, 28.0: 1.0, 32.0: 1.0, 36.0: 20.0, 44.0: 15.0, 48.0: 1.0, 56.0: 15.0, 64.0: 15.0, 80.0: 10.0}};10;94
16.0;(23, 24, 38, 44, 45, 34, 33, 32, 18, 16);7.0;250.0;100.0;0.15;1.0;{23: 7.0};{16: 7.0};{23: {16.0: 1.0, 24.0: 1.0, 60.0: 5.0}};10;95
16.0;(37, 24, 23, 22, 21, 25, 26);26.0;250.0;100.0;0.15;1.0;{37: 26.0};{26: 26.0};{37: {16.0: 1.0, 20.0: 1.0, 32.0: 2.0, 40.0: 5.0, 48.0: 1.0, 60.0: 2.0, 64.0: 4.0, 68.0: 4.0, 72.0: 2.0, 76.0: 3.0, 84.0: 1.0}};7;96
16.0;(1, 2, 3, 4, 5, 6, 7, 16);213.0;250.0;100.0;0.15;1.0;{1: 213.0};{16: 213.0};{1: {16.0: 1.0, 20.0: 2.0, 24.0: 11.0, 28.0: 18.0, 32.0: 11.0, 36.0: 26.0, 40.0: 13.0, 44.0: 20.0, 48.0: 10.0, 52.0: 11.0, 56.0: 10.0, 60.0: 23.0, 64.0: 11.0, 68.0: 10.0, 72.0: 15.0, 76.0: 9.0, 80.0: 4.0, 84.0: 5.0, 88.0: 3.0}};8;97
16.0;(27, 26, 29, 30, 54, 58, 59, 70, 74, 87);48.0;250.0;100.0;0.15;1.0;{27: 48.0};{87: 48.0};{27: {16.0: 1.0, 24.0: 1.0, 28.0: 6.0, 32.0: 4.0, 36.0: 3.0, 40.0: 5.0, 44.0: 3.0, 48.0: 2.0, 52.0: 3.0, 56.0: 4.0, 60.0: 2.0, 64.0: 4.0, 68.0: 1.0, 72.0: 2.0, 76.0: 5.0, 88.0: 2.0}};10;98
16.0;(46, 45, 44, 43, 41);684.0;250.0;100.0;0.15;1.0;{46: 684.0};{41: 684.0};{46: {16.0: 1.0, 20.0: 6.0, 24.0: 33.0, 28.0: 63.0, 32.0: 48.0, 36.0: 52.0, 40.0: 53.0, 44.0: 44.0, 48.0: 37.0, 52.0: 42.0, 56.0: 42.0, 60.0: 42.0, 64.0: 46.0, 68.0: 53.0, 72.0: 53.0, 76.0: 28.0, 80.0: 24.0, 84.0: 12.0, 88.0: 4.0, 92.0: 1.0}};5;99
16.0;(76, 77, 73, 71, 59, 58, 54, 30, 29, 26);2.0;250.0;100.0;0.15;1.0;{76: 2.0};{26: 2.0};{76: {16.0: 1.0, 92.0: 1.0}};10;100
16.0;(59, 71, 73, 78, 82, 83);173.0;250.0;100.0;0.15;1.0;{59: 173.0};{83: 173.0};{59: {16.0: 1.0, 20.0: 4.0, 24.0: 8.0, 28.0: 17.0, 32.0: 16.0, 36.0: 11.0, 40.0: 11.0, 44.0: 12.0, 48.0: 9.0, 52.0: 14.0, 56.0: 12.0, 60.0: 9.0, 64.0: 15.0, 68.0: 5.0, 72.0: 16.0, 76.0: 6.0, 80.0: 3.0, 84.0: 3.0, 92.0: 1.0}};6;101
16.0;(83, 82, 78, 73, 71, 59);23.0;250.0;100.0;0.15;0.8999999999999999;{83: 23.0};{59: 23.0};{83: {16.0: 1.0, 44.0: 22.0}};6;102
16.0;(56, 58, 59, 70, 64, 63, 61, 48, 47);71.0;250.0;100.0;0.15;1.0;{56: 71.0};{47: 67.0, 64: 4.0};{56: {16.0: 5.0, 36.0: 3.0, 40.0: 3.0, 48.0: 2.0, 56.0: 2.0, 68.0: 2.0, 84.0: 40.0, 88.0: 14.0}};9;103
16.0;(27, 26, 25, 20, 13);6.0;250.0;100.0;0.15;0.8000000000000003;{27: 6.0};{13: 6.0};{27: {16.0: 1.0, 88.0: 5.0}};5;104
