start_timestep,route,fleet_size,charge_cap,batt_cap,d_spec,SOC_init,fleet_id
7,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",1.0,103.0,107.94,0.26,0.9,0
8,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",10.0,110.0,88.16,0.23,0.9,1
9,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",107.0,114.0,82.08,0.29,0.9,2
10,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",402.0,77.0,88.8,0.24,0.9,3
11,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",756.0,110.0,88.16,0.23,0.9,4
12,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",735.0,110.0,88.16,0.23,0.9,5
13,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",618.0,110.0,88.16,0.23,0.9,6
14,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",639.0,110.0,88.16,0.23,0.9,7
15,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",549.0,103.0,108.0,0.27,0.9,8
16,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",437.0,108.0,103.09,0.24,0.9,9
17,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",442.0,114.0,82.08,0.29,0.9,10
18,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",466.0,77.0,88.8,0.24,0.9,11
19,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",491.0,103.0,108.0,0.27,0.9,12
20,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",500.0,77.0,88.8,0.24,0.9,13
21,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",450.0,103.0,108.0,0.27,0.9,14
22,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",420.0,77.0,88.8,0.24,0.9,15
23,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",317.0,110.0,88.16,0.23,0.9,16
24,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",177.0,103.0,108.0,0.27,0.9,17
25,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",84.0,85.0,81.2,0.23,0.9,18
26,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",38.0,110.0,88.16,0.23,0.9,19
27,"(94, 100, 88, 86, 87, 81, 42, 43, 39, 40, 41, 35, 36, 37)",16.0,103.0,107.94,0.26,0.9,20
8,"(93, 91, 63, 62, 61)",1.0,41.0,68.2,0.22,1.0,21
9,"(93, 91, 63, 62, 61)",16.0,77.0,88.8,0.24,1.0,22
10,"(93, 91, 63, 62, 61)",59.0,110.0,88.16,0.23,1.0,23
11,"(93, 91, 63, 62, 61)",134.0,103.0,108.0,0.27,1.0,24
12,"(93, 91, 63, 62, 61)",112.0,77.0,88.8,0.24,1.0,25
13,"(93, 91, 63, 62, 61)",98.0,108.0,103.09,0.24,1.0,26
14,"(93, 91, 63, 62, 61)",123.0,67.0,53.11,0.23,0.9,27
15,"(93, 91, 63, 62, 61)",83.0,103.0,108.0,0.27,1.0,28
16,"(93, 91, 63, 62, 61)",66.0,103.0,107.94,0.26,1.0,29
17,"(93, 91, 63, 62, 61)",80.0,30.0,45.72,0.22,0.9,30
18,"(93, 91, 63, 62, 61)",72.0,110.0,88.16,0.23,1.0,31
19,"(93, 91, 63, 62, 61)",85.0,103.0,107.94,0.26,1.0,32
20,"(93, 91, 63, 62, 61)",74.0,110.0,88.16,0.23,1.0,33
21,"(93, 91, 63, 62, 61)",92.0,30.0,45.72,0.22,0.9,34
22,"(93, 91, 63, 62, 61)",63.0,114.0,82.08,0.29,1.0,35
23,"(93, 91, 63, 62, 61)",41.0,47.0,54.05,0.23,0.9,36
24,"(93, 91, 63, 62, 61)",43.0,39.0,45.03,0.24,0.9,37
25,"(93, 91, 63, 62, 61)",9.0,110.0,88.16,0.23,1.0,38
26,"(93, 91, 63, 62, 61)",7.0,39.0,45.03,0.24,0.9,39
27,"(93, 91, 63, 62, 61)",1.0,110.0,88.16,0.23,1.0,40
5,"(94, 100, 88, 86, 87, 84)",1.0,114.0,82.08,0.29,0.9,41
7,"(94, 100, 88, 86, 87, 84)",1.0,103.0,108.0,0.27,0.9,42
8,"(94, 100, 88, 86, 87, 84)",4.0,114.0,82.08,0.29,0.9,43
9,"(94, 100, 88, 86, 87, 84)",47.0,41.0,68.2,0.22,0.9,44
10,"(94, 100, 88, 86, 87, 84)",173.0,110.0,88.16,0.23,0.9,45
