start_timestep;route;fleet_size;charge_cap;batt_cap;d_spec;SOC_init;incoming;arriving;depart_time;len;fleet_id
16.0;(12, 20, 25, 26);179.0;41.0;55.0;0.182;1.1;{12: 179.0};{26: 179.0};{12: {16.0: 4.0, 28.0: 175.0}};4;36
16.0;(86, 73, 69, 70, 72, 76);35.0;110.0;60.0;0.16;0.7;{86: 35.0};{76: 35.0};{86: {16.0: 1.0, 32.0: 34.0}};6;37
16.0;(26, 29, 30, 53, 57, 58, 69, 73, 86);3.0;110.0;60.0;0.16;0.7;{26: 3.0};{86: 3.0};{26: {16.0: 1.0, 28.0: 2.0}};9;38
16.0;(43, 42, 38, 24, 23, 22, 9, 8, 7, 2, 3, 4, 5, 6, 14);3.0;110.0;60.0;0.16;0.8999999999999999;{43: 3.0};{14: 3.0};{43: {16.0: 1.0, 24.0: 2.0}};15;39
16.0;(76, 72, 70, 58, 57, 55);59.0;41.0;55.0;0.182;0.8999999999999999;{76: 59.0};{55: 42.0, 58: 17.0};{76: {16.0: 19.0, 28.0: 40.0}};6;40
16.0;(86, 73, 63, 62, 64);10.0;41.0;55.0;0.182;0.7999999999999999;{86: 10.0};{64: 10.0};{86: {16.0: 1.0, 24.0: 9.0}};5;41
16.0;(12, 19, 9, 8, 7, 1);65.0;110.0;60.0;0.16;1.0000000000000002;{12: 65.0};{1: 65.0};{12: {16.0: 3.0, 24.0: 62.0}};6;42
16.0;(36, 38, 40, 41, 60, 62, 63, 73, 86);2.0;41.0;55.0;0.182;1.0;{36: 2.0};{86: 2.0};{36: {16.0: 1.0, 44.0: 1.0}};9;43
16.0;(26, 25, 21, 22);52.0;110.0;60.0;0.16;0.6000000000000001;{26: 52.0};{22: 52.0};{26: {16.0: 5.0, 84.0: 47.0}};4;44
16.0;(58, 70, 72, 76);274.0;110.0;60.0;0.16;0.6;{58: 274.0};{76: 274.0};{58: {16.0: 13.0, 24.0: 261.0}};4;45
16.0;(32, 33, 44, 43, 42, 38, 36);6.0;110.0;60.0;0.16;0.6;{32: 6.0};{36: 6.0};{32: {16.0: 1.0, 24.0: 5.0}};7;46
16.0;(64, 62, 63, 69, 58);43.0;110.0;60.0;0.16;0.8999999999999999;{64: 43.0};{58: 43.0};{64: {16.0: 3.0, 24.0: 40.0}};5;47
16.0;(86, 73, 63, 62, 60, 47, 46);9.0;110.0;60.0;0.16;1.0;{86: 9.0};{46: 9.0};{86: {16.0: 1.0, 24.0: 8.0}};7;48
16.0;(51, 52, 53, 55);31.0;110.0;60.0;0.16;1.0000000000000002;{51: 31.0};{55: 31.0};{51: {16.0: 1.0, 24.0: 30.0}};4;49
16.0;(33, 44, 43, 42, 38, 36);5.0;110.0;60.0;0.16;0.7;{33: 5.0};{36: 5.0};{33: {16.0: 1.0, 28.0: 4.0}};6;50
16.0;(27, 26, 29, 30, 52, 54, 61, 66, 82);6.0;41.0;55.0;0.182;1.1;{27: 6.0};{82: 6.0};{27: {16.0: 1.0, 32.0: 5.0}};9;51
