start_timestep,route,fleet_size,charge_cap,batt_cap,d_spec,SOC_init,fleet_id
20,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",1.0,41.0,68.2,0.22,0.9,0
21,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",4.0,64.0,110.6,0.28,0.9,1
22,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",4.0,85.0,81.2,0.23,0.9,2
23,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",4.0,64.0,110.6,0.28,0.9,3
24,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",10.0,85.0,81.2,0.23,0.9,4
25,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",13.0,110.0,88.16,0.23,0.9,5
26,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",15.0,77.0,88.8,0.24,0.9,6
27,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",17.0,103.0,107.94,0.26,0.9,7
28,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",17.0,41.0,68.2,0.22,0.9,8
29,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",25.0,110.0,88.16,0.23,0.9,9
30,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",21.0,77.0,88.8,0.24,0.9,10
31,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",23.0,64.0,110.6,0.28,0.9,11
32,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",27.0,103.0,108.0,0.27,0.9,12
33,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",24.0,110.0,129.92,0.23,1.0,13
34,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",20.0,41.0,68.2,0.22,0.9,14
35,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",11.0,41.0,68.2,0.22,0.9,15
36,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",24.0,110.0,88.16,0.23,0.9,16
37,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",19.0,77.0,88.8,0.24,0.9,17
38,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",17.0,41.0,68.2,0.22,0.9,18
39,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",13.0,110.0,88.16,0.23,0.9,19
40,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",18.0,110.0,88.16,0.23,0.9,20
41,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",15.0,110.0,88.16,0.23,0.9,21
42,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",17.0,110.0,88.16,0.23,0.9,22
43,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",19.0,110.0,88.16,0.23,0.9,23
44,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",15.0,110.0,88.16,0.23,0.9,24
45,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",14.0,85.0,81.2,0.23,0.9,25
46,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",12.0,41.0,68.2,0.22,0.9,26
47,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",16.0,110.0,88.16,0.23,0.9,27
48,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",14.0,110.0,88.16,0.23,0.9,28
49,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",7.0,77.0,88.8,0.24,0.9,29
50,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",14.0,110.0,88.16,0.23,0.9,30
51,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",14.0,41.0,68.2,0.22,0.9,31
52,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",13.0,41.0,68.2,0.22,0.9,32
53,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",15.0,110.0,88.16,0.23,0.9,33
54,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",12.0,110.0,88.16,0.23,0.9,34
55,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",9.0,77.0,88.8,0.24,0.9,35
56,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",20.0,78.0,64.12,0.23,0.9,36
57,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",12.0,103.0,108.0,0.27,0.9,37
58,"(88, 100, 94, 93, 91, 61, 62, 63, 60, 57, 58, 33, 32, 31, 29, 30, 28, 15, 14, 13, 12, 11, 1, 2, 3, 4, 5, 6, 7, 8)",17.0,103.0,108.0,0.27,0.9,38
