,start_timestep,route,fleet_size,charge_cap,batt_cap,d_spec,SOC_init,fleet_id
0,10.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",2.0,85.0,81.2,0.232,0.6,0
1,11.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",1.0,103.0,108.0,0.27,0.7,1
2,12.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",2.0,41.0,68.2,0.22,0.6,2
3,14.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",2.0,110.0,88.16,0.232,0.7,3
4,15.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",1.0,110.0,88.16,0.232,0.7,4
5,16.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",5.0,110.0,88.16,0.232,0.7,5
6,17.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",1.0,64.0,110.6,0.28,0.7,6
7,18.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",8.0,41.0,68.2,0.22,0.6,7
8,19.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",7.0,110.0,88.16,0.232,0.7,8
9,20.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",12.0,110.0,88.16,0.232,0.7,9
10,21.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",31.0,110.0,88.16,0.232,0.7,10
11,22.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",44.0,85.0,81.2,0.232,0.6,11
12,23.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",55.0,78.0,64.12,0.225,0.5,12
13,24.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",92.0,41.0,68.2,0.22,0.6,13
14,25.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",153.0,64.0,110.6,0.28,0.7,14
15,26.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",164.0,67.0,53.11,0.226,0.4,15
16,27.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",212.0,41.0,68.2,0.22,0.6,16
17,28.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",236.0,114.0,82.08,0.288,0.5,17
18,29.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",304.0,110.0,129.92,0.232,0.8,18
19,30.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",317.0,39.0,45.03,0.237,0.3,19
20,31.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",302.0,103.0,108.0,0.27,0.7,20
21,32.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",306.0,114.0,82.08,0.288,0.5,21
22,33.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",296.0,110.0,88.16,0.232,0.7,22
23,34.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",261.0,110.0,88.16,0.232,0.7,23
24,35.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",249.0,64.0,110.6,0.28,0.7,24
25,36.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",246.0,40.0,51.98,0.231,0.4,25
26,37.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",227.0,103.0,107.94,0.257,0.7,26
27,38.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",215.0,103.0,108.0,0.27,0.7,27
28,39.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",211.0,47.0,54.05,0.23,0.4,28
29,40.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",220.0,41.0,68.2,0.22,0.6,29
30,41.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",249.0,64.0,110.6,0.28,0.7,30
31,42.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",237.0,103.0,107.94,0.257,0.7,31
32,43.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",200.0,110.0,88.16,0.232,0.7,32
33,44.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",197.0,110.0,88.16,0.232,0.7,33
34,45.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",198.0,47.0,54.05,0.23,0.4,34
35,46.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",196.0,85.0,81.2,0.232,0.6,35
36,47.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",217.0,103.0,108.0,0.27,0.7,36
37,48.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",171.0,110.0,88.16,0.232,0.7,37
38,49.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",182.0,39.0,45.03,0.237,0.3,38
39,50.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",196.0,103.0,107.94,0.257,0.7,39
40,51.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",152.0,67.0,53.11,0.226,0.4,40
41,52.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",152.0,64.0,110.6,0.28,0.7,41
42,53.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",158.0,40.0,51.98,0.231,0.4,42
43,54.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",159.0,110.0,88.16,0.232,0.7,43
44,55.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",143.0,110.0,88.16,0.232,0.7,44
45,56.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",145.0,103.0,108.0,0.27,0.7,45
46,57.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",145.0,110.0,88.16,0.232,0.7,46
47,58.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",165.0,110.0,88.16,0.232,0.7,47
48,59.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",187.0,110.0,88.16,0.232,0.7,48
49,60.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",178.0,47.0,54.05,0.23,0.4,49
50,61.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",173.0,41.0,68.2,0.22,0.6,50
51,62.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",151.0,110.0,88.16,0.232,0.7,51
52,63.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",210.0,114.0,82.08,0.288,0.5,52
53,64.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",194.0,41.0,68.2,0.22,0.6,53
54,65.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",192.0,78.0,64.12,0.225,0.5,54
55,66.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",176.0,110.0,88.16,0.232,0.7,55
56,67.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",167.0,110.0,88.16,0.232,0.7,56
57,68.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",174.0,103.0,108.0,0.27,0.7,57
58,69.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",168.0,47.0,54.05,0.23,0.4,58
59,70.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",183.0,77.0,88.8,0.24,0.6,59
60,71.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",188.0,114.0,82.08,0.288,0.5,60
61,72.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",180.0,103.0,107.94,0.257,0.7,61
62,73.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",173.0,85.0,81.2,0.232,0.6,62
63,74.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",142.0,41.0,68.2,0.22,0.6,63
64,75.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",156.0,34.0,42.5,0.25,0.2,64
65,76.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",123.0,64.0,110.6,0.28,0.7,65
66,77.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",123.0,77.0,88.8,0.24,0.6,66
67,78.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",105.0,41.0,68.2,0.22,0.6,67
68,79.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",111.0,110.0,88.16,0.232,0.7,68
69,80.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",80.0,103.0,108.0,0.27,0.7,69
70,81.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",86.0,47.0,54.05,0.23,0.4,70
71,82.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",71.0,41.0,68.2,0.22,0.6,71
72,83.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",51.0,30.0,45.72,0.223,0.3,72
73,84.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",41.0,110.0,88.16,0.232,0.7,73
74,85.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",47.0,110.0,88.16,0.232,0.7,74
75,86.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",42.0,77.0,88.8,0.24,0.6,75
76,87.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",26.0,110.0,88.16,0.232,0.7,76
77,88.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",26.0,110.0,88.16,0.232,0.7,77
78,89.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",20.0,110.0,88.16,0.232,0.7,78
79,90.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",13.0,110.0,88.16,0.232,0.7,79
80,91.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",7.0,110.0,88.16,0.232,0.7,80
81,92.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",13.0,41.0,68.2,0.22,0.6,81
82,93.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",7.0,103.0,107.94,0.257,0.7,82
83,94.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",7.0,110.0,88.16,0.232,0.7,83
84,95.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30, 28, 15)",5.0,85.0,81.2,0.232,0.6,84
85,14.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",1.0,41.0,68.2,0.22,0.6,85
86,17.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",2.0,110.0,88.16,0.232,0.7,86
87,19.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",2.0,41.0,68.2,0.22,0.6,87
88,20.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",3.0,85.0,81.2,0.232,0.6,88
89,21.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",5.0,114.0,82.08,0.288,0.5,89
90,22.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",15.0,114.0,82.08,0.288,0.5,90
91,23.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",14.0,64.0,110.6,0.28,0.7,91
92,24.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",29.0,110.0,88.16,0.232,0.7,92
93,25.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",19.0,110.0,88.16,0.232,0.7,93
94,26.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",29.0,110.0,88.16,0.232,0.7,94
95,27.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",42.0,85.0,81.2,0.232,0.6,95
96,28.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",33.0,77.0,88.8,0.24,0.6,96
97,29.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",39.0,77.0,88.8,0.24,0.6,97
98,30.0,"(46, 47, 48, 49, 50, 51, 67, 66, 64, 65, 58, 57, 31, 32, 33, 29, 30)",54.0,77.0,88.8,0.24,0.6,98
