STATcube

"Abgestimmte Erwerbsstatistik - Personen - Zeitreihe ab 2011 (Q SW)"
"Wohnort - NUTS Gliederung (Ebene +1) und Arbeits- bzw. Schulort - NUTS Gliederung (Ebene +1) nach Jahr nach Pendeltyp"
"Zählt: Personen"

Filter:
"Standardfakt";"Personen"
"Pendeltyp";"Erwerbspendler"

"Zählt";"Pendeltyp";"Wohnort - NUTS Gliederung (Ebene +1)";"Arbeits- bzw. Schulort - NUTS Gliederung (Ebene +1)";"Jahr";"Anzahl";"Anmerkungen";
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Außerfern <AT331>";"2019";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Außerfern <AT331>";"2011";1;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Außerfern <AT331>";"2012";1;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Außerfern <AT331>";"2013";1;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Außerfern <AT331>";"2014";1;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Außerfern <AT331>";"2015";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Außerfern <AT331>";"2016";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Außerfern <AT331>";"2017";2;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Außerfern <AT331>";"2018";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Innsbruck <AT332>";"2019";6;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Innsbruck <AT332>";"2011";15;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Innsbruck <AT332>";"2012";13;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Innsbruck <AT332>";"2013";13;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Innsbruck <AT332>";"2014";10;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Innsbruck <AT332>";"2015";6;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Innsbruck <AT332>";"2016";10;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Innsbruck <AT332>";"2017";8;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Innsbruck <AT332>";"2018";6;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Osttirol <AT333>";"2019";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Osttirol <AT333>";"2011";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Osttirol <AT333>";"2012";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Osttirol <AT333>";"2013";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Osttirol <AT333>";"2014";1;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Osttirol <AT333>";"2015";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Osttirol <AT333>";"2016";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Osttirol <AT333>";"2017";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Osttirol <AT333>";"2018";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Oberland <AT334>";"2019";2;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Oberland <AT334>";"2011";1;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Oberland <AT334>";"2012";1;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Oberland <AT334>";"2013";3;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Oberland <AT334>";"2014";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Oberland <AT334>";"2015";1;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Oberland <AT334>";"2016";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Oberland <AT334>";"2017";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Oberland <AT334>";"2018";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Unterland <AT335>";"2019";7;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Unterland <AT335>";"2011";6;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Unterland <AT335>";"2012";5;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Unterland <AT335>";"2013";2;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Unterland <AT335>";"2014";3;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Unterland <AT335>";"2015";4;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Unterland <AT335>";"2016";4;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Unterland <AT335>";"2017";3;"SW"
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Tiroler Unterland <AT335>";"2018";7;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Bludenz-Bregenzer Wald <AT341>";"2019";-;
"Personen";"Erwerbspendler";"Mittelburgenland <AT111>";"Bludenz-Bregenzer Wald <AT341>";"2011";-;
