,Zählt,Pendeltyp,Wohnort - NUTS Gliederung (Ebene +1),Arbeits- bzw. Schulort - NUTS Gliederung (Ebene +1),Jahr,Anzahl,Anmerkungen,Unnamed: 7
783,Personen,Erwerbspendler,Wiener Umland-Südteil <AT127>,Rheintal-Bodenseegebiet <AT342>,2019.0,200,,
792,Personen,Erwerbspendler,Wiener Umland-Südteil <AT127>,Pendler ins Ausland,2019.0,525,,
801,Personen,Erwerbspendler,Wiener Umland-Südteil <AT127>,Kein Pendler,2019.0,-,,
810,Personen,Erwerbspendler,Wien <AT130>,Außerfern <AT331>,2019.0,26,,
819,Personen,Erwerbspendler,Wien <AT130>,Innsbruck <AT332>,2019.0,743,,
828,Personen,Erwerbspendler,Wien <AT130>,Osttirol <AT333>,2019.0,42,,
837,Personen,Erwerbspendler,Wien <AT130>,Tiroler Oberland <AT334>,2019.0,146,,
846,Personen,Erwerbspendler,Wien <AT130>,Tiroler Unterland <AT335>,2019.0,409,,
855,Personen,Erwerbspendler,Wien <AT130>,Bludenz-Bregenzer Wald <AT341>,2019.0,115,,
864,Personen,Erwerbspendler,Wien <AT130>,Rheintal-Bodenseegebiet <AT342>,2019.0,1213,,
873,Personen,Erwerbspendler,Wien <AT130>,Pendler ins Ausland,2019.0,2201,,
882,Personen,Erwerbspendler,Wien <AT130>,Kein Pendler,2019.0,-,,
891,Personen,Erwerbspendler,Klagenfurt-Villach <AT211>,Außerfern <AT331>,2019.0,5,SW,
900,Personen,Erwerbspendler,Klagenfurt-Villach <AT211>,Innsbruck <AT332>,2019.0,173,,
909,Personen,Erwerbspendler,Klagenfurt-Villach <AT211>,Osttirol <AT333>,2019.0,48,,
918,Personen,Erwerbspendler,Klagenfurt-Villach <AT211>,Tiroler Oberland <AT334>,2019.0,50,,
927,Personen,Erwerbspendler,Klagenfurt-Villach <AT211>,Tiroler Unterland <AT335>,2019.0,125,,
936,Personen,Erwerbspendler,Klagenfurt-Villach <AT211>,Bludenz-Bregenzer Wald <AT341>,2019.0,47,,
945,Personen,Erwerbspendler,Klagenfurt-Villach <AT211>,Rheintal-Bodenseegebiet <AT342>,2019.0,124,,
954,Personen,Erwerbspendler,Klagenfurt-Villach <AT211>,Pendler ins Ausland,2019.0,391,,
963,Personen,Erwerbspendler,Klagenfurt-Villach <AT211>,Kein Pendler,2019.0,-,,
972,Personen,Erwerbspendler,Oberkärnten <AT212>,Außerfern <AT331>,2019.0,8,,
981,Personen,Erwerbspendler,Oberkärnten <AT212>,Innsbruck <AT332>,2019.0,337,,
990,Personen,Erwerbspendler,Oberkärnten <AT212>,Osttirol <AT333>,2019.0,1719,,
999,Personen,Erwerbspendler,Oberkärnten <AT212>,Tiroler Oberland <AT334>,2019.0,77,,
1008,Personen,Erwerbspendler,Oberkärnten <AT212>,Tiroler Unterland <AT335>,2019.0,157,,
1017,Personen,Erwerbspendler,Oberkärnten <AT212>,Bludenz-Bregenzer Wald <AT341>,2019.0,45,,
1026,Personen,Erwerbspendler,Oberkärnten <AT212>,Rheintal-Bodenseegebiet <AT342>,2019.0,65,,
1035,Personen,Erwerbspendler,Oberkärnten <AT212>,Pendler ins Ausland,2019.0,245,,
1044,Personen,Erwerbspendler,Oberkärnten <AT212>,Kein Pendler,2019.0,-,,
1053,Personen,Erwerbspendler,Unterkärnten <AT213>,Außerfern <AT331>,2019.0,5,SW,
1062,Personen,Erwerbspendler,Unterkärnten <AT213>,Innsbruck <AT332>,2019.0,61,,
1071,Personen,Erwerbspendler,Unterkärnten <AT213>,Osttirol <AT333>,2019.0,12,,
1080,Personen,Erwerbspendler,Unterkärnten <AT213>,Tiroler Oberland <AT334>,2019.0,20,,
1089,Personen,Erwerbspendler,Unterkärnten <AT213>,Tiroler Unterland <AT335>,2019.0,47,,
1098,Personen,Erwerbspendler,Unterkärnten <AT213>,Bludenz-Bregenzer Wald <AT341>,2019.0,17,,
1107,Personen,Erwerbspendler,Unterkärnten <AT213>,Rheintal-Bodenseegebiet <AT342>,2019.0,43,,
1116,Personen,Erwerbspendler,Unterkärnten <AT213>,Pendler ins Ausland,2019.0,253,,
1125,Personen,Erwerbspendler,Unterkärnten <AT213>,Kein Pendler,2019.0,-,,
1134,Personen,Erwerbspendler,Graz <AT221>,Außerfern <AT331>,2019.0,5,SW,
1143,Personen,Erwerbspendler,Graz <AT221>,Innsbruck <AT332>,2019.0,127,,
1152,Personen,Erwerbspendler,Graz <AT221>,Osttirol <AT333>,2019.0,36,,
1161,Personen,Erwerbspendler,Graz <AT221>,Tiroler Oberland <AT334>,2019.0,37,,
1170,Personen,Erwerbspendler,Graz <AT221>,Tiroler Unterland <AT335>,2019.0,104,,
1179,Personen,Erwerbspendler,Graz <AT221>,Bludenz-Bregenzer Wald <AT341>,2019.0,26,,
1188,Personen,Erwerbspendler,Graz <AT221>,Rheintal-Bodenseegebiet <AT342>,2019.0,224,,
1197,Personen,Erwerbspendler,Graz <AT221>,Pendler ins Ausland,2019.0,793,,
1206,Personen,Erwerbspendler,Graz <AT221>,Kein Pendler,2019.0,-,,
1215,Personen,Erwerbspendler,Liezen <AT222>,Außerfern <AT331>,2019.0,2,SW,
1224,Personen,Erwerbspendler,Liezen <AT222>,Innsbruck <AT332>,2019.0,45,,
1233,Personen,Erwerbspendler,Liezen <AT222>,Osttirol <AT333>,2019.0,1,SW,
1242,Personen,Erwerbspendler,Liezen <AT222>,Tiroler Oberland <AT334>,2019.0,9,,
1251,Personen,Erwerbspendler,Liezen <AT222>,Tiroler Unterland <AT335>,2019.0,37,,
1260,Personen,Erwerbspendler,Liezen <AT222>,Bludenz-Bregenzer Wald <AT341>,2019.0,10,,
1269,Personen,Erwerbspendler,Liezen <AT222>,Rheintal-Bodenseegebiet <AT342>,2019.0,21,,
1278,Personen,Erwerbspendler,Liezen <AT222>,Pendler ins Ausland,2019.0,123,,
1287,Personen,Erwerbspendler,Liezen <AT222>,Kein Pendler,2019.0,-,,
1296,Personen,Erwerbspendler,Östliche Obersteiermark <AT223>,Außerfern <AT331>,2019.0,4,SW,
1305,Personen,Erwerbspendler,Östliche Obersteiermark <AT223>,Innsbruck <AT332>,2019.0,32,,
1314,Personen,Erwerbspendler,Östliche Obersteiermark <AT223>,Osttirol <AT333>,2019.0,1,SW,
1323,Personen,Erwerbspendler,Östliche Obersteiermark <AT223>,Tiroler Oberland <AT334>,2019.0,26,,
1332,Personen,Erwerbspendler,Östliche Obersteiermark <AT223>,Tiroler Unterland <AT335>,2019.0,28,,
1341,Personen,Erwerbspendler,Östliche Obersteiermark <AT223>,Bludenz-Bregenzer Wald <AT341>,2019.0,11,,
1350,Personen,Erwerbspendler,Östliche Obersteiermark <AT223>,Rheintal-Bodenseegebiet <AT342>,2019.0,41,,
1359,Personen,Erwerbspendler,Östliche Obersteiermark <AT223>,Pendler ins Ausland,2019.0,230,,
1368,Personen,Erwerbspendler,Östliche Obersteiermark <AT223>,Kein Pendler,2019.0,-,,
1377,Personen,Erwerbspendler,Oststeiermark <AT224>,Außerfern <AT331>,2019.0,3,SW,
1386,Personen,Erwerbspendler,Oststeiermark <AT224>,Innsbruck <AT332>,2019.0,76,,
1395,Personen,Erwerbspendler,Oststeiermark <AT224>,Osttirol <AT333>,2019.0,4,SW,
1404,Personen,Erwerbspendler,Oststeiermark <AT224>,Tiroler Oberland <AT334>,2019.0,22,,
1413,Personen,Erwerbspendler,Oststeiermark <AT224>,Tiroler Unterland <AT335>,2019.0,80,,
1422,Personen,Erwerbspendler,Oststeiermark <AT224>,Bludenz-Bregenzer Wald <AT341>,2019.0,25,,
1431,Personen,Erwerbspendler,Oststeiermark <AT224>,Rheintal-Bodenseegebiet <AT342>,2019.0,52,,
1440,Personen,Erwerbspendler,Oststeiermark <AT224>,Pendler ins Ausland,2019.0,552,,
1449,Personen,Erwerbspendler,Oststeiermark <AT224>,Kein Pendler,2019.0,-,,
1458,Personen,Erwerbspendler,West- und Südsteiermark <AT225>,Außerfern <AT331>,2019.0,4,SW,
1467,Personen,Erwerbspendler,West- und Südsteiermark <AT225>,Innsbruck <AT332>,2019.0,64,,
1476,Personen,Erwerbspendler,West- und Südsteiermark <AT225>,Osttirol <AT333>,2019.0,3,SW,
1485,Personen,Erwerbspendler,West- und Südsteiermark <AT225>,Tiroler Oberland <AT334>,2019.0,22,,
1494,Personen,Erwerbspendler,West- und Südsteiermark <AT225>,Tiroler Unterland <AT335>,2019.0,44,,
1503,Personen,Erwerbspendler,West- und Südsteiermark <AT225>,Bludenz-Bregenzer Wald <AT341>,2019.0,17,,
1512,Personen,Erwerbspendler,West- und Südsteiermark <AT225>,Rheintal-Bodenseegebiet <AT342>,2019.0,52,,
1521,Personen,Erwerbspendler,West- und Südsteiermark <AT225>,Pendler ins Ausland,2019.0,395,,
1530,Personen,Erwerbspendler,West- und Südsteiermark <AT225>,Kein Pendler,2019.0,-,,
1539,Personen,Erwerbspendler,Westliche Obersteiermark <AT226>,Außerfern <AT331>,2019.0,3,SW,
1548,Personen,Erwerbspendler,Westliche Obersteiermark <AT226>,Innsbruck <AT332>,2019.0,32,,
1557,Personen,Erwerbspendler,Westliche Obersteiermark <AT226>,Osttirol <AT333>,2019.0,4,SW,
1566,Personen,Erwerbspendler,Westliche Obersteiermark <AT226>,Tiroler Oberland <AT334>,2019.0,13,,
1575,Personen,Erwerbspendler,Westliche Obersteiermark <AT226>,Tiroler Unterland <AT335>,2019.0,73,,
1584,Personen,Erwerbspendler,Westliche Obersteiermark <AT226>,Bludenz-Bregenzer Wald <AT341>,2019.0,12,,
1593,Personen,Erwerbspendler,Westliche Obersteiermark <AT226>,Rheintal-Bodenseegebiet <AT342>,2019.0,39,,
1602,Personen,Erwerbspendler,Westliche Obersteiermark <AT226>,Pendler ins Ausland,2019.0,241,,
1611,Personen,Erwerbspendler,Westliche Obersteiermark <AT226>,Kein Pendler,2019.0,-,,
1620,Personen,Erwerbspendler,Innviertel <AT311>,Außerfern <AT331>,2019.0,2,SW,
1629,Personen,Erwerbspendler,Innviertel <AT311>,Innsbruck <AT332>,2019.0,92,,
1638,Personen,Erwerbspendler,Innviertel <AT311>,Osttirol <AT333>,2019.0,8,,
1647,Personen,Erwerbspendler,Innviertel <AT311>,Tiroler Oberland <AT334>,2019.0,20,,
1656,Personen,Erwerbspendler,Innviertel <AT311>,Tiroler Unterland <AT335>,2019.0,74,,
1665,Personen,Erwerbspendler,Innviertel <AT311>,Bludenz-Bregenzer Wald <AT341>,2019.0,8,,
1674,Personen,Erwerbspendler,Innviertel <AT311>,Rheintal-Bodenseegebiet <AT342>,2019.0,55,,
1683,Personen,Erwerbspendler,Innviertel <AT311>,Pendler ins Ausland,2019.0,4554,,
1692,Personen,Erwerbspendler,Innviertel <AT311>,Kein Pendler,2019.0,-,,
1701,Personen,Erwerbspendler,Linz-Wels <AT312>,Außerfern <AT331>,2019.0,7,,
1710,Personen,Erwerbspendler,Linz-Wels <AT312>,Innsbruck <AT332>,2019.0,222,,
1719,Personen,Erwerbspendler,Linz-Wels <AT312>,Osttirol <AT333>,2019.0,13,,
1728,Personen,Erwerbspendler,Linz-Wels <AT312>,Tiroler Oberland <AT334>,2019.0,44,,
1737,Personen,Erwerbspendler,Linz-Wels <AT312>,Tiroler Unterland <AT335>,2019.0,127,,
1746,Personen,Erwerbspendler,Linz-Wels <AT312>,Bludenz-Bregenzer Wald <AT341>,2019.0,18,,
1755,Personen,Erwerbspendler,Linz-Wels <AT312>,Rheintal-Bodenseegebiet <AT342>,2019.0,185,,
1764,Personen,Erwerbspendler,Linz-Wels <AT312>,Pendler ins Ausland,2019.0,880,,
1773,Personen,Erwerbspendler,Linz-Wels <AT312>,Kein Pendler,2019.0,-,,
1782,Personen,Erwerbspendler,Mühlviertel <AT313>,Außerfern <AT331>,2019.0,2,SW,
1791,Personen,Erwerbspendler,Mühlviertel <AT313>,Innsbruck <AT332>,2019.0,52,,
1800,Personen,Erwerbspendler,Mühlviertel <AT313>,Osttirol <AT333>,2019.0,2,SW,
1809,Personen,Erwerbspendler,Mühlviertel <AT313>,Tiroler Oberland <AT334>,2019.0,9,,
1818,Personen,Erwerbspendler,Mühlviertel <AT313>,Tiroler Unterland <AT335>,2019.0,43,,
1827,Personen,Erwerbspendler,Mühlviertel <AT313>,Bludenz-Bregenzer Wald <AT341>,2019.0,4,SW,
1836,Personen,Erwerbspendler,Mühlviertel <AT313>,Rheintal-Bodenseegebiet <AT342>,2019.0,70,,
1845,Personen,Erwerbspendler,Mühlviertel <AT313>,Pendler ins Ausland,2019.0,489,,
1854,Personen,Erwerbspendler,Mühlviertel <AT313>,Kein Pendler,2019.0,-,,
1863,Personen,Erwerbspendler,Steyr-Kirchdorf <AT314>,Außerfern <AT331>,2019.0,7,,
1872,Personen,Erwerbspendler,Steyr-Kirchdorf <AT314>,Innsbruck <AT332>,2019.0,38,,
1881,Personen,Erwerbspendler,Steyr-Kirchdorf <AT314>,Osttirol <AT333>,2019.0,2,SW,
1890,Personen,Erwerbspendler,Steyr-Kirchdorf <AT314>,Tiroler Oberland <AT334>,2019.0,5,SW,
1899,Personen,Erwerbspendler,Steyr-Kirchdorf <AT314>,Tiroler Unterland <AT335>,2019.0,43,,
1908,Personen,Erwerbspendler,Steyr-Kirchdorf <AT314>,Bludenz-Bregenzer Wald <AT341>,2019.0,13,,
1917,Personen,Erwerbspendler,Steyr-Kirchdorf <AT314>,Rheintal-Bodenseegebiet <AT342>,2019.0,73,,
1926,Personen,Erwerbspendler,Steyr-Kirchdorf <AT314>,Pendler ins Ausland,2019.0,197,,
1935,Personen,Erwerbspendler,Steyr-Kirchdorf <AT314>,Kein Pendler,2019.0,-,,
1944,Personen,Erwerbspendler,Traunviertel <AT315>,Außerfern <AT331>,2019.0,5,SW,
1953,Personen,Erwerbspendler,Traunviertel <AT315>,Innsbruck <AT332>,2019.0,122,,
1962,Personen,Erwerbspendler,Traunviertel <AT315>,Osttirol <AT333>,2019.0,3,SW,
1971,Personen,Erwerbspendler,Traunviertel <AT315>,Tiroler Oberland <AT334>,2019.0,20,,
1980,Personen,Erwerbspendler,Traunviertel <AT315>,Tiroler Unterland <AT335>,2019.0,85,,
1989,Personen,Erwerbspendler,Traunviertel <AT315>,Bludenz-Bregenzer Wald <AT341>,2019.0,29,,
1998,Personen,Erwerbspendler,Traunviertel <AT315>,Rheintal-Bodenseegebiet <AT342>,2019.0,206,,
2007,Personen,Erwerbspendler,Traunviertel <AT315>,Pendler ins Ausland,2019.0,456,,
2016,Personen,Erwerbspendler,Traunviertel <AT315>,Kein Pendler,2019.0,-,,
2025,Personen,Erwerbspendler,Lungau <AT321>,Außerfern <AT331>,2019.0,-,,
2034,Personen,Erwerbspendler,Lungau <AT321>,Innsbruck <AT332>,2019.0,22,,
2043,Personen,Erwerbspendler,Lungau <AT321>,Osttirol <AT333>,2019.0,2,SW,
2052,Personen,Erwerbspendler,Lungau <AT321>,Tiroler Oberland <AT334>,2019.0,9,,
2061,Personen,Erwerbspendler,Lungau <AT321>,Tiroler Unterland <AT335>,2019.0,11,,
2070,Personen,Erwerbspendler,Lungau <AT321>,Bludenz-Bregenzer Wald <AT341>,2019.0,1,SW,
2079,Personen,Erwerbspendler,Lungau <AT321>,Rheintal-Bodenseegebiet <AT342>,2019.0,6,,
2088,Personen,Erwerbspendler,Lungau <AT321>,Pendler ins Ausland,2019.0,22,,
2097,Personen,Erwerbspendler,Lungau <AT321>,Kein Pendler,2019.0,-,,
2106,Personen,Erwerbspendler,Pinzgau-Pongau <AT322>,Außerfern <AT331>,2019.0,5,SW,
2115,Personen,Erwerbspendler,Pinzgau-Pongau <AT322>,Innsbruck <AT332>,2019.0,305,,
2124,Personen,Erwerbspendler,Pinzgau-Pongau <AT322>,Osttirol <AT333>,2019.0,26,,
2133,Personen,Erwerbspendler,Pinzgau-Pongau <AT322>,Tiroler Oberland <AT334>,2019.0,66,,
2142,Personen,Erwerbspendler,Pinzgau-Pongau <AT322>,Tiroler Unterland <AT335>,2019.0,1030,,
2151,Personen,Erwerbspendler,Pinzgau-Pongau <AT322>,Bludenz-Bregenzer Wald <AT341>,2019.0,30,,
2160,Personen,Erwerbspendler,Pinzgau-Pongau <AT322>,Rheintal-Bodenseegebiet <AT342>,2019.0,165,,
2169,Personen,Erwerbspendler,Pinzgau-Pongau <AT322>,Pendler ins Ausland,2019.0,283,,
2178,Personen,Erwerbspendler,Pinzgau-Pongau <AT322>,Kein Pendler,2019.0,-,,
2187,Personen,Erwerbspendler,Salzburg und Umgebung <AT323>,Außerfern <AT331>,2019.0,9,,
2196,Personen,Erwerbspendler,Salzburg und Umgebung <AT323>,Innsbruck <AT332>,2019.0,315,,
2205,Personen,Erwerbspendler,Salzburg und Umgebung <AT323>,Osttirol <AT333>,2019.0,19,,
2214,Personen,Erwerbspendler,Salzburg und Umgebung <AT323>,Tiroler Oberland <AT334>,2019.0,63,,
2223,Personen,Erwerbspendler,Salzburg und Umgebung <AT323>,Tiroler Unterland <AT335>,2019.0,265,,
2232,Personen,Erwerbspendler,Salzburg und Umgebung <AT323>,Bludenz-Bregenzer Wald <AT341>,2019.0,31,,
2241,Personen,Erwerbspendler,Salzburg und Umgebung <AT323>,Rheintal-Bodenseegebiet <AT342>,2019.0,369,,
2250,Personen,Erwerbspendler,Salzburg und Umgebung <AT323>,Pendler ins Ausland,2019.0,1718,,
2259,Personen,Erwerbspendler,Salzburg und Umgebung <AT323>,Kein Pendler,2019.0,-,,
2268,Personen,Erwerbspendler,Außerfern <AT331>,Außerfern <AT331>,2019.0,13910,,
2277,Personen,Erwerbspendler,Außerfern <AT331>,Innsbruck <AT332>,2019.0,484,,
2286,Personen,Erwerbspendler,Außerfern <AT331>,Osttirol <AT333>,2019.0,12,,
2295,Personen,Erwerbspendler,Außerfern <AT331>,Tiroler Oberland <AT334>,2019.0,131,,
2304,Personen,Erwerbspendler,Außerfern <AT331>,Tiroler Unterland <AT335>,2019.0,62,,
2313,Personen,Erwerbspendler,Außerfern <AT331>,Bludenz-Bregenzer Wald <AT341>,2019.0,97,,
2322,Personen,Erwerbspendler,Außerfern <AT331>,Rheintal-Bodenseegebiet <AT342>,2019.0,62,,
2331,Personen,Erwerbspendler,Außerfern <AT331>,Pendler ins Ausland,2019.0,783,,
2340,Personen,Erwerbspendler,Außerfern <AT331>,Kein Pendler,2019.0,-,,
2349,Personen,Erwerbspendler,Innsbruck <AT332>,Außerfern <AT331>,2019.0,251,,
2358,Personen,Erwerbspendler,Innsbruck <AT332>,Innsbruck <AT332>,2019.0,140672,,
2367,Personen,Erwerbspendler,Innsbruck <AT332>,Osttirol <AT333>,2019.0,345,,
2376,Personen,Erwerbspendler,Innsbruck <AT332>,Tiroler Oberland <AT334>,2019.0,2926,,
2385,Personen,Erwerbspendler,Innsbruck <AT332>,Tiroler Unterland <AT335>,2019.0,6204,,
2394,Personen,Erwerbspendler,Innsbruck <AT332>,Bludenz-Bregenzer Wald <AT341>,2019.0,111,,
2403,Personen,Erwerbspendler,Innsbruck <AT332>,Rheintal-Bodenseegebiet <AT342>,2019.0,644,,
2412,Personen,Erwerbspendler,Innsbruck <AT332>,Pendler ins Ausland,2019.0,521,,
2421,Personen,Erwerbspendler,Innsbruck <AT332>,Kein Pendler,2019.0,-,,
2430,Personen,Erwerbspendler,Osttirol <AT333>,Außerfern <AT331>,2019.0,28,,
2439,Personen,Erwerbspendler,Osttirol <AT333>,Innsbruck <AT332>,2019.0,1044,,
2448,Personen,Erwerbspendler,Osttirol <AT333>,Osttirol <AT333>,2019.0,19869,,
2457,Personen,Erwerbspendler,Osttirol <AT333>,Tiroler Oberland <AT334>,2019.0,99,,
2466,Personen,Erwerbspendler,Osttirol <AT333>,Tiroler Unterland <AT335>,2019.0,508,,
2475,Personen,Erwerbspendler,Osttirol <AT333>,Bludenz-Bregenzer Wald <AT341>,2019.0,29,,
2484,Personen,Erwerbspendler,Osttirol <AT333>,Rheintal-Bodenseegebiet <AT342>,2019.0,28,,
2493,Personen,Erwerbspendler,Osttirol <AT333>,Pendler ins Ausland,2019.0,195,,
2502,Personen,Erwerbspendler,Osttirol <AT333>,Kein Pendler,2019.0,-,,
2511,Personen,Erwerbspendler,Tiroler Oberland <AT334>,Außerfern <AT331>,2019.0,202,,
2520,Personen,Erwerbspendler,Tiroler Oberland <AT334>,Innsbruck <AT332>,2019.0,8989,,
2529,Personen,Erwerbspendler,Tiroler Oberland <AT334>,Osttirol <AT333>,2019.0,84,,
2538,Personen,Erwerbspendler,Tiroler Oberland <AT334>,Tiroler Oberland <AT334>,2019.0,39329,,
2547,Personen,Erwerbspendler,Tiroler Oberland <AT334>,Tiroler Unterland <AT335>,2019.0,480,,
2556,Personen,Erwerbspendler,Tiroler Oberland <AT334>,Bludenz-Bregenzer Wald <AT341>,2019.0,440,,
2565,Personen,Erwerbspendler,Tiroler Oberland <AT334>,Rheintal-Bodenseegebiet <AT342>,2019.0,326,,
2574,Personen,Erwerbspendler,Tiroler Oberland <AT334>,Pendler ins Ausland,2019.0,400,,
2583,Personen,Erwerbspendler,Tiroler Oberland <AT334>,Kein Pendler,2019.0,-,,
2592,Personen,Erwerbspendler,Tiroler Unterland <AT335>,Außerfern <AT331>,2019.0,64,,
2601,Personen,Erwerbspendler,Tiroler Unterland <AT335>,Innsbruck <AT332>,2019.0,12580,,
2610,Personen,Erwerbspendler,Tiroler Unterland <AT335>,Osttirol <AT333>,2019.0,204,,
2619,Personen,Erwerbspendler,Tiroler Unterland <AT335>,Tiroler Oberland <AT334>,2019.0,361,,
2628,Personen,Erwerbspendler,Tiroler Unterland <AT335>,Tiroler Unterland <AT335>,2019.0,112539,,
2637,Personen,Erwerbspendler,Tiroler Unterland <AT335>,Bludenz-Bregenzer Wald <AT341>,2019.0,45,,
2646,Personen,Erwerbspendler,Tiroler Unterland <AT335>,Rheintal-Bodenseegebiet <AT342>,2019.0,181,,
2655,Personen,Erwerbspendler,Tiroler Unterland <AT335>,Pendler ins Ausland,2019.0,1317,,
2664,Personen,Erwerbspendler,Tiroler Unterland <AT335>,Kein Pendler,2019.0,-,,
2673,Personen,Erwerbspendler,Bludenz-Bregenzer Wald <AT341>,Außerfern <AT331>,2019.0,13,,
2682,Personen,Erwerbspendler,Bludenz-Bregenzer Wald <AT341>,Innsbruck <AT332>,2019.0,238,,
2691,Personen,Erwerbspendler,Bludenz-Bregenzer Wald <AT341>,Osttirol <AT333>,2019.0,2,SW,
2700,Personen,Erwerbspendler,Bludenz-Bregenzer Wald <AT341>,Tiroler Oberland <AT334>,2019.0,68,,
2709,Personen,Erwerbspendler,Bludenz-Bregenzer Wald <AT341>,Tiroler Unterland <AT335>,2019.0,32,,
2718,Personen,Erwerbspendler,Bludenz-Bregenzer Wald <AT341>,Bludenz-Bregenzer Wald <AT341>,2019.0,33305,,
2727,Personen,Erwerbspendler,Bludenz-Bregenzer Wald <AT341>,Rheintal-Bodenseegebiet <AT342>,2019.0,10124,,
2736,Personen,Erwerbspendler,Bludenz-Bregenzer Wald <AT341>,Pendler ins Ausland,2019.0,1978,,
2745,Personen,Erwerbspendler,Bludenz-Bregenzer Wald <AT341>,Kein Pendler,2019.0,-,,
2754,Personen,Erwerbspendler,Rheintal-Bodenseegebiet <AT342>,Außerfern <AT331>,2019.0,20,,
2763,Personen,Erwerbspendler,Rheintal-Bodenseegebiet <AT342>,Innsbruck <AT332>,2019.0,685,,
2772,Personen,Erwerbspendler,Rheintal-Bodenseegebiet <AT342>,Osttirol <AT333>,2019.0,3,SW,
2781,Personen,Erwerbspendler,Rheintal-Bodenseegebiet <AT342>,Tiroler Oberland <AT334>,2019.0,93,,
2790,Personen,Erwerbspendler,Rheintal-Bodenseegebiet <AT342>,Tiroler Unterland <AT335>,2019.0,47,,
2799,Personen,Erwerbspendler,Rheintal-Bodenseegebiet <AT342>,Bludenz-Bregenzer Wald <AT341>,2019.0,6321,,
2808,Personen,Erwerbspendler,Rheintal-Bodenseegebiet <AT342>,Rheintal-Bodenseegebiet <AT342>,2019.0,128561,,
2817,Personen,Erwerbspendler,Rheintal-Bodenseegebiet <AT342>,Pendler ins Ausland,2019.0,13639,,
2826,Personen,Erwerbspendler,Rheintal-Bodenseegebiet <AT342>,Kein Pendler,2019.0,-,,
